Ensembl	Uniprot	Reliability_IF	Subcellular location
ENSG00000169718	Q6P1R4	Approved	Plasma membrane
ENSG00000167264	Q9NX74	Enhanced	Cytosol
ENSG00000141994	Q96G46	Approved	Nucleoplasm,Cytosol
ENSG00000105865	O95620	Approved	Cytosol
ENSG00000288558	Q9UHQ4	Approved	Cytosol
ENSG00000120129	P28562	Approved	Nucleoli,Cytosol
ENSG00000143507	Q9Y6W6	Supported	Nucleoplasm,Golgi apparatus,Cytosol
ENSG00000144048	O75319	Supported	Nucleoplasm,Nucleoli fibrillar center,Cytokinetic bridge
ENSG00000081721	Q9UNI6	Supported	Nucleoplasm
ENSG00000276023	O95147	Approved	Nucleoplasm,Cytosol
ENSG00000149599	Q9H1R2	Approved	Plasma membrane,Cytosol
ENSG00000111266	Q9BY84	Supported	Nucleoplasm
ENSG00000167065	Q8NEJ0	Supported	Nucleoplasm
ENSG00000162999	Q8WTR2	Approved	Nucleoplasm
ENSG00000158050	Q05923	Supported	Nucleoplasm,Nuclear membrane
ENSG00000112679	Q9NRW4	Approved	Nucleoplasm,Vesicles
ENSG00000158716	Q9BVJ7	Supported	Nucleoplasm
ENSG00000133878	Q9BV47	Supported	Nucleoplasm
ENSG00000188542	Q4G0W2	Uncertain	Nuclear speckles,Cytosol
ENSG00000108861	P51452	Supported	Nucleoplasm,Cytosol
ENSG00000120875	Q13115	Supported	Nucleoplasm
ENSG00000139318	Q16828	Supported	Nucleoplasm,Cytosol
ENSG00000184545	Q13202	Approved	Cytosol
ENSG00000130829	Q99956	Approved	Endoplasmic reticulum
ENSG00000128951	P33316	Supported	Nucleoplasm
ENSG00000260596	Q9UBX2	Approved	Nucleoplasm,Nucleoli,Golgi apparatus,Cytosol
ENSG00000004975	O14641	Enhanced	Nucleoplasm,Nuclear bodies
ENSG00000161202	Q92997	Approved	Intermediate filaments,Midbody ring,Centrosome
ENSG00000204348	O77932	Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000141627	Q7RTS9	Supported	Golgi apparatus
ENSG00000197102	Q14204	Supported	Centrosome,Cytosol
ENSG00000077380	Q13409	Supported	Nucleoli,Endoplasmic reticulum,Microtubules,Cytosol
ENSG00000144635	Q9Y6G9	Supported	Centrosome,Cytosol
ENSG00000135720	O43237	Approved	Centrosome,Cytosol
ENSG00000187240	Q8NCM8	Approved	Nucleoplasm,Mitochondria,Cytosol
ENSG00000126870	Q8WVS4	Supported	Centrosome
ENSG00000119333	Q96EX3	Approved	Cytosol
ENSG00000138036	Q8TCX1	Supported	Cytosol
ENSG00000088986	P63167	Approved	Nucleoplasm,Nuclear bodies,Cytosol
ENSG00000264364	Q96FJ2	Uncertain	Nucleoplasm,Nuclear bodies,Cytosol
ENSG00000146425	P63172	Approved	Nucleoplasm
ENSG00000213123	Q8WW35	Approved	Cytosol
ENSG00000157540	Q13627	Approved	Nucleoli fibrillar center,Cytosol
ENSG00000105204	Q9Y463	Supported	Nucleoplasm,Mitotic chromosome
ENSG00000127334	Q92630	Supported	Nucleoplasm,Cytosol
ENSG00000143479	O43781	Supported	Nucleoplasm,Cytosol
ENSG00000010219	Q9NR20	Enhanced	Vesicles
ENSG00000135636	O75923	Supported	Plasma membrane,Centriolar satellite
ENSG00000089091	Q9NVP4	Approved	Nucleoli fibrillar center
ENSG00000134874	Q86YF9	Supported	Nucleoplasm,Centrosome
ENSG00000158163	Q8IYY4	Supported	Nucleoplasm,Microtubules,Cytokinetic bridge
ENSG00000198919	Q86Y13	Approved	Vesicles
ENSG00000101412	Q01094	Supported	Nucleoplasm,Centrosome
ENSG00000112242	O00716	Supported	Nucleoplasm,Nuclear speckles,Cytosol
ENSG00000205250	Q16254	Supported	Nucleoplasm
ENSG00000133740	Q15329	Supported	Nucleoplasm,Nucleoli,Vesicles
ENSG00000169016	O75461	Supported	Nucleoplasm
ENSG00000165891	Q96AV8	Supported	Nuclear speckles
ENSG00000129173	A0AVK6	Supported	Nucleoplasm,Nucleoli,Cytosol
ENSG00000167967	Q66K89	Enhanced	Nucleoplasm
ENSG00000144597	Q96JC9	Approved	Nucleoplasm,Nuclear bodies,Vesicles
ENSG00000129518	Q56P03	Approved	Nucleoplasm,Golgi apparatus,Cytosol
ENSG00000103356	Q5JPH6	Approved	Nucleoplasm,Mitochondria
ENSG00000147654	O00559	Enhanced	Golgi apparatus
ENSG00000164330	Q9UH73	Approved	Nucleoplasm,Vesicles
ENSG00000221818	Q9HAK2	Approved	Nucleoplasm,Nuclear bodies
ENSG00000108001	Q9H4W6	Approved	Nucleoplasm,Vesicles
ENSG00000255423	Q6P2I7	Approved	Nucleoplasm,Nuclear bodies
ENSG00000117395	Q99848	Enhanced	Nucleoli,Nucleoli rim,Mitotic chromosome
ENSG00000147155	Q15125	Supported	Endoplasmic reticulum
ENSG00000123179	Q9BY08	Supported	Endoplasmic reticulum
ENSG00000122882	O95905	Supported	Nucleoplasm,Cytosol
ENSG00000171551	O95672	Approved	Nucleoplasm,Nuclear membrane,Nucleoli
ENSG00000104823	Q13011	Supported	Mitochondria
ENSG00000093144	Q9NTX5	Approved	Vesicles
ENSG00000121310	Q86YB7	Approved	Mitochondria
ENSG00000127884	P30084	Enhanced	Mitochondria
ENSG00000167969	P42126	Enhanced	Mitochondria
ENSG00000198721	O75521	Enhanced	Peroxisomes,Mitochondria
ENSG00000143369	Q16610	Approved	Nucleoplasm,Cytosol
ENSG00000106823	O94769	Approved	Mitotic spindle,Centrosome,Cytosol
ENSG00000136813	Q5VYK3	Approved	Nucleoplasm
ENSG00000249751	Q19T08	Supported	Nucleoplasm,Vesicles,Plasma membrane
ENSG00000130159	Q9BQ95	Supported	Nucleoplasm,Cytosol
ENSG00000114346	Q9H8V3	Enhanced	Nucleoplasm,Cytosol
ENSG00000158813	Q92838	Supported	Vesicles,Lipid droplets
ENSG00000131080	Q9HAV5	Approved	Cell Junctions
ENSG00000186197	Q8WWZ3	Approved	Nucleoplasm,Cytosol
ENSG00000179151	Q96F86	Supported	Cytoplasmic bodies
ENSG00000038358	Q6P2E9	Enhanced	Nucleoplasm,Cytoplasmic bodies
ENSG00000134109	Q92611	Enhanced	Endoplasmic reticulum,Aggresome
ENSG00000116406	Q9BZQ6	Approved	Endoplasmic reticulum
ENSG00000107223	O60869	Supported	Nucleoplasm,Cytosol
ENSG00000078401	P05305	Approved	Nucleoplasm,Nucleoli,Golgi apparatus
ENSG00000127129	P20800	Approved	Cytosol
ENSG00000151617	P25101	Approved	Plasma membrane,Cytosol
ENSG00000136160	P24530	Supported	Plasma membrane,Cytosol
ENSG00000107938	Q3B7T1	Approved	Nucleoplasm,Centrosome,Cytosol
ENSG00000102189	Q15075	Supported	Vesicles
ENSG00000074266	O75530	Supported	Nucleoplasm
ENSG00000156508	P68104	Supported	Cytosol
ENSG00000101210	Q05639	Approved	Nucleoli,Cytosol
ENSG00000150456	Q8WVE0	Approved	Plasma membrane,Cytosol
ENSG00000203791	Q5JPI9	Supported	Nucleoplasm,Nuclear bodies,Vesicles,Cytosol
ENSG00000123427	Q96AZ1	Approved	Nucleoplasm,Mitotic chromosome,Centrosome
ENSG00000284753	P0DPD7	Uncertain	Nucleoplasm,Cytosol
ENSG00000284917	P0DPD8	Uncertain	Nucleoplasm,Cytosol
ENSG00000010165	Q8N6R0	Approved	Cytosol
ENSG00000114942	P24534	Approved	Nucleoli fibrillar center,Cytosol
ENSG00000104529	P29692	Supported	Nucleoplasm,Nucleoli fibrillar center
ENSG00000124802	O43324	Supported	Nucleoplasm,Cytosol
ENSG00000254772	P26641	Approved	Golgi apparatus,Cytosol
ENSG00000167658	P13639	Enhanced	Plasma membrane,Cytosol
ENSG00000103319	O00418	Approved	Nucleoplasm
ENSG00000118894	Q96G04	Uncertain	Vesicles
ENSG00000132394	P57772	Approved	Nucleoplasm,Nuclear bodies,Cytosol
ENSG00000122547	Q7L9B9	Approved	Nuclear speckles,Vesicles
ENSG00000034239	Q9HAE3	Approved	Nucleoplasm,Plasma membrane
ENSG00000140025	Q9BUY7	Approved	Cell Junctions,Cytosol
ENSG00000172771	Q6NXP0	Approved	Nucleoplasm,Nuclear bodies,Midbody ring
ENSG00000178852	Q8IY85	Enhanced	Nucleoplasm,Nuclear speckles,Cytosol
ENSG00000159658	O75071	Approved	Nucleoli,Golgi apparatus,Cytosol
ENSG00000203666	Q5VUJ9	Approved	Plasma membrane,Cytosol
ENSG00000186976	Q5THR3	Uncertain	Nucleoplasm
ENSG00000203965	A8K855	Approved	Nucleoplasm,Nucleoli,Nucleoli rim,Plasma membrane,Cytosol
ENSG00000115380	Q12805	Supported	Mitochondria
ENSG00000163576	Q8N7U6	Approved	Vesicles,Cytosol
ENSG00000183690	Q5JST6	Approved	Nucleoplasm,Nucleoli fibrillar center,Plasma membrane
ENSG00000115468	Q9BUP0	Supported	Nucleoli fibrillar center,Golgi apparatus
ENSG00000142634	Q96C19	Approved	Cytosol
ENSG00000140598	Q7Z2Z2	Approved	Cytosol
ENSG00000099617	O43921	Approved	Mitochondria,Cytosol
ENSG00000184349	P52803	Approved	Vesicles,Cytosol
ENSG00000090776	P98172	Supported	Plasma membrane
ENSG00000125266	P52799	Supported	Nucleoplasm,Cytosol
ENSG00000132294	Q14156	Supported	Plasma membrane,Cytosol
ENSG00000084710	Q9Y2G0	Supported	Plasma membrane,Actin filaments,Cytosol
ENSG00000100842	O43281	Uncertain	Nucleoplasm,Cytosol
ENSG00000108883	Q15029	Approved	Nucleoplasm,Vesicles,Cytosol
ENSG00000241404	Q99944	Approved	Nuclear speckles,Vesicles
ENSG00000146648	P00533	Enhanced	Plasma membrane,Cell Junctions
ENSG00000269858	Q96KS0	Supported	Nucleoplasm
ENSG00000129521	Q9H6Z9	Supported	Cytosol
ENSG00000120738	P18146	Enhanced	Nucleoplasm
ENSG00000122877	P11161	Supported	Nucleoplasm
ENSG00000179388	Q06889	Uncertain	Nucleoplasm,Vesicles
ENSG00000115504	Q8NDI1	Enhanced	Plasma membrane,Cytosol
ENSG00000173442	Q8N3D4	Approved	Vesicles,Plasma membrane
ENSG00000110047	Q9H4M9	Supported	Plasma membrane
ENSG00000024422	Q9NZN4	Supported	Plasma membrane
ENSG00000013016	Q9NZN3	Approved	Plasma membrane
ENSG00000103966	Q9H223	Approved	Plasma membrane
ENSG00000135373	Q9NZC4	Supported	Nucleoplasm,Golgi apparatus
ENSG00000181090	Q9H9B1	Supported	Nucleoplasm,Nuclear bodies
ENSG00000204371	Q96KQ7	Supported	Nucleoplasm,Nuclear speckles
ENSG00000149547	O14681	Supported	Endoplasmic reticulum,Golgi apparatus,Cytosol
ENSG00000255302	Q9Y6B2	Supported	Nucleoplasm
ENSG00000176396	Q8N6I1	Supported	Nucleoplasm
ENSG00000255150	Q8N140	Supported	Nucleoplasm,Nucleoli
ENSG00000175376	Q8N9N8	Approved	Nucleoplasm,Vesicles,Cytosol
ENSG00000173674	P47813	Approved	Cytosol
ENSG00000198692	O14602	Approved	Cytosol
ENSG00000144895	Q9BY44	Uncertain	Mitochondria,Cytosol
ENSG00000086232	Q9BQI3	Supported	Nucleoplasm,Cytosol
ENSG00000055332	P19525	Enhanced	Cytosol
ENSG00000128829	Q9P2K8	Approved	Cytosol
ENSG00000111361	Q14232	Approved	Cytosol
ENSG00000119718	P49770	Approved	Nucleoplasm,Plasma membrane,Focal adhesion sites
ENSG00000070785	Q9NR50	Supported	Vesicles,Cytosol
ENSG00000115211	Q9UI10	Approved	Nuclear membrane,Actin filaments
ENSG00000145191	Q13144	Enhanced	Cytosol
ENSG00000143486	P41214	Supported	Nuclear bodies,Cytosol
ENSG00000134001	P05198	Enhanced	Cytosol
ENSG00000125977	P20042	Supported	Nucleoli,Endoplasmic reticulum
ENSG00000107581	Q14152	Supported	Nucleoplasm,Cytosol
ENSG00000106263	P55884	Approved	Nucleoplasm,Cytosol
ENSG00000184110	Q99613	Supported	Cytosol
ENSG00000205609	B5ME19	Approved	Cytosol
ENSG00000100353	O15371	Supported	Cytosol
ENSG00000104408	P60228	Supported	Cytosol
ENSG00000130811	O75821	Enhanced	Cytosol
ENSG00000147677	O15372	Approved	Cytosol
ENSG00000084623	Q13347	Approved	Cytosol
ENSG00000104131	O75822	Approved	Cytosol
ENSG00000178982	Q9UBQ5	Supported	Cytosol
ENSG00000100129	Q9Y262	Approved	Nucleoplasm,Nucleoli
ENSG00000149100	Q7L2H7	Approved	Cytosol
ENSG00000161960	P60842	Approved	Cytosol
ENSG00000156976	Q14240	Approved	Cytosol
ENSG00000141543	P38919	Supported	Nucleoplasm
ENSG00000063046	P23588	Enhanced	Cytosol
ENSG00000151247	P06730	Supported	Nucleoplasm,Cytosol,Cytoplasmic bodies
ENSG00000135930	O60573	Enhanced	Mitochondria,Cytosol
ENSG00000163412	Q8N5X7	Approved	Nucleoli fibrillar center
ENSG00000187840	Q13541	Supported	Nucleoplasm,Cytosol
ENSG00000148730	Q13542	Approved	Nucleoplasm,Mitochondria
ENSG00000184708	Q9NRA8	Enhanced	Vesicles
ENSG00000114867	Q04637	Enhanced	Cytosol
ENSG00000110321	P78344	Enhanced	Cytosol
ENSG00000075151	O43432	Approved	Cytosol
ENSG00000106682	Q15056	Approved	Nucleoplasm,Nuclear bodies,Cytosol
ENSG00000100664	P55010	Enhanced	Cytosol
ENSG00000132507	P63241	Supported	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000163577	Q9GZV4	Supported	Vesicles
ENSG00000253626	Q6IS14	Approved	Plasma membrane,Cytosol
ENSG00000158417	O60841	Approved	Plasma membrane,Cytosol
ENSG00000242372	P56537	Supported	Nucleoplasm
ENSG00000032389	Q53HC9	Supported	Nucleoplasm,Nucleoli,Intermediate filaments
ENSG00000141642	Q9H777	Supported	Nucleoplasm,Cytosol
ENSG00000006744	Q9BQ52	Supported	Nucleoplasm
ENSG00000116299	Q6UXG2	Supported	Plasma membrane
ENSG00000164659	A8MWY0	Approved	Endoplasmic reticulum
ENSG00000066044	Q15717	Supported	Nucleoplasm,Nucleoli,Cytosol
ENSG00000107105	Q12926	Approved	Nucleoplasm,Cytosol
ENSG00000162374	P26378	Approved	Nucleoplasm,Vesicles
ENSG00000120690	P32519	Supported	Nucleoplasm
ENSG00000109381	Q15723	Supported	Nucleoplasm,Nuclear bodies
ENSG00000163435	P78545	Enhanced	Nucleoplasm
ENSG00000102034	Q99607	Supported	Nucleoplasm,Nuclear bodies
ENSG00000135374	Q9UKW6	Approved	Nucleoplasm
ENSG00000225968	P0C7U0	Approved	Nucleoplasm,Cell Junctions
ENSG00000166897	Q5R3F8	Approved	Nucleoplasm,Vesicles
ENSG00000126767	P19419	Enhanced	Nucleoplasm
ENSG00000111145	P41970	Supported	Nucleoplasm,Mitochondria
ENSG00000158711	P28324	Supported	Nucleoplasm
ENSG00000105656	P55199	Supported	Nucleoplasm,Nuclear bodies,Cytosol
ENSG00000118985	O00472	Supported	Nucleoplasm
ENSG00000128886	Q9HB65	Supported	Nucleoplasm,Nucleoli,Mitotic chromosome
ENSG00000062598	Q96JJ3	Supported	Cytosol
ENSG00000102890	Q96BJ8	Approved	Plasma membrane,Cell Junctions
ENSG00000110675	Q8N336	Uncertain	Nucleoplasm,Cytosol
ENSG00000179387	Q8IZ81	Approved	Nucleoplasm,Nucleoli,Cytosol
ENSG00000115459	Q96FG2	Uncertain	Nucleoplasm,Mitochondria
ENSG00000049540	P15502	Approved	Plasma membrane
ENSG00000011007	Q14241	Approved	Nuclear speckles,Cytosol
ENSG00000206181	Q8IYF1	Approved	Nucleoplasm,Cytosol
ENSG00000275553		Approved	Nucleoplasm,Cytosol
ENSG00000154582	Q15369	Approved	Nucleoli,Vesicles,Cell Junctions
ENSG00000130165	P60002	Approved	Cytosol
ENSG00000066322	Q9BW60	Supported	Endoplasmic reticulum
ENSG00000119915	Q9HB03	Approved	Vesicles,Cytosol
ENSG00000012660	Q9NYP7	Enhanced	Endoplasmic reticulum
ENSG00000070061	O95163	Supported	Nucleoplasm,Cytosol
ENSG00000134759	Q6IA86	Supported	Nucleoplasm,Cytosol
ENSG00000134014	Q9H9T3	Enhanced	Cytosol
ENSG00000109911	Q96EB1	Supported	Nucleoplasm
ENSG00000170291	Q8TE02	Supported	Nucleoplasm,Cytosol
ENSG00000163832	Q0PNE2	Approved	Nucleoplasm,Centrosome,Cytosol
ENSG00000127774	Q9BV81	Approved	Nucleoplasm,Centrosome
ENSG00000131148	O43402	Supported	Endoplasmic reticulum,Golgi apparatus
ENSG00000102119	P50402	Enhanced	Nuclear membrane,Endoplasmic reticulum
ENSG00000154920	Q96AY2	Approved	Nuclear bodies,Cytosol
ENSG00000126749	Q92979	Supported	Nucleoplasm,Nucleoli rim,Mitotic chromosome
ENSG00000183798	Q9NT22	Approved	Golgi apparatus,Microtubules,Cytokinetic bridge
ENSG00000125746	O95834	Approved	Vesicles
ENSG00000143924	Q9HC35	Supported	Microtubules,Cytosol
ENSG00000214595	Q6ZMW3	Approved	Vesicles,Mitochondria
ENSG00000134531	P54849	Approved	Vesicles
ENSG00000213853	P54851	Approved	Nucleoplasm,Cytosol
ENSG00000142227	P54852	Approved	Vesicles,Plasma membrane
ENSG00000158636	Q7Z589	Supported	Nucleoplasm
ENSG00000135638	Q04741	Supported	Nucleoli,Nucleoli rim,Mitotic chromosome
ENSG00000170370	Q04743	Approved	Nucleoplasm
ENSG00000163064	Q05925	Approved	Nucleoplasm,Nucleoli rim
ENSG00000164778	P19622	Supported	Nucleoplasm,Nucleoli,Nucleoli fibrillar center
ENSG00000154380	Q8N8S7	Enhanced	Plasma membrane,Focal adhesion sites,Cytosol
ENSG00000171617	O14682	Uncertain	Plasma membrane
ENSG00000149218	O94919	Approved	Nuclear membrane
ENSG00000106991	P17813	Supported	Nuclear bodies,Plasma membrane
ENSG00000167280	Q8NFI3	Approved	Centrosome,Cytosol
ENSG00000124074	Q9H0I2	Approved	Plasma membrane,Centrosome,Cytosol
ENSG00000074800	P06733	Enhanced	Plasma membrane,Cytosol
ENSG00000111674	P09104	Supported	Plasma membrane,Cytosol
ENSG00000108515	P13929	Supported	Plasma membrane,Cytosol
ENSG00000188316	A6NNW6	Approved	Nucleoplasm,Mitochondria
ENSG00000145293	Q9UHY7	Approved	Nucleoplasm,Nuclear bodies
ENSG00000120658	Q8TC92	Supported	Plasma membrane
ENSG00000165675	Q16206	Approved	Plasma membrane,Cytosol
ENSG00000136960	Q13822	Approved	Nucleoplasm,Golgi apparatus,Actin filaments
ENSG00000112796	Q9UJA9	Approved	Nucleoplasm,Cytosol
ENSG00000164303	Q6UWR7	Approved	Golgi apparatus
ENSG00000143420	O43768	Approved	Nucleoplasm,Nucleoli,Microtubules,Cytosol
ENSG00000138185	P49961	Uncertain	Microtubules
ENSG00000197217	Q9Y227	Approved	Vesicles
ENSG00000197586	O75354	Supported	Golgi apparatus
ENSG00000198018	Q9NQZ7	Approved	Nucleoplasm
ENSG00000188833	Q5MY95	Approved	Nucleoplasm,Vesicles,Cytosol
ENSG00000120533	Q9NPA8	Approved	Nucleoplasm,Mitochondria
ENSG00000163378	Q5NDL2	Approved	Nucleoplasm,Nuclear membrane,Cytosol
ENSG00000163508	O95936	Approved	Nucleoplasm,Golgi apparatus,Cytosol
ENSG00000100393	Q09472	Enhanced	Nucleoplasm
ENSG00000183495	Q96L91	Supported	Nucleoplasm
ENSG00000116016	Q99814	Supported	Nucleoplasm,Cytosol
ENSG00000159023	P11171	Supported	Nuclear bodies,Plasma membrane,Cell Junctions,Cytokinetic bridge,Mitotic spindle,Cytosol
ENSG00000088367	Q9H4G0	Supported	Plasma membrane
ENSG00000079819	O43491	Enhanced	Nucleoplasm,Plasma membrane,Cell Junctions
ENSG00000082397	Q9Y2J2	Enhanced	Plasma membrane,Cell Junctions
ENSG00000129595	Q9HCS5	Approved	Nucleoplasm,Plasma membrane
ENSG00000095203	Q9H329	Approved	Plasma membrane,Cytosol
ENSG00000115109	Q9HCM4	Enhanced	Plasma membrane
ENSG00000166947	P16452	Uncertain	Nucleoplasm,Cytosol
ENSG00000120616	Q9H2F5	Approved	Nucleoplasm,Vesicles
ENSG00000135999	Q52LR7	Approved	Nuclear speckles
ENSG00000119888	P16422	Supported	Plasma membrane
ENSG00000152223	Q9HCE0	Approved	Nuclear speckles
ENSG00000182585	Q6UW88	Approved	Nucleoplasm,Vesicles,Cytosol
ENSG00000142627	P29317	Supported	Nuclear speckles,Golgi apparatus,Plasma membrane,Cell Junctions
ENSG00000044524	P29320	Supported	Nucleoplasm,Nuclear membrane,Plasma membrane,Actin filaments,Cytosol
ENSG00000080224	Q9UF33	Enhanced	Nucleoplasm
ENSG00000154928	P54762	Approved	Endoplasmic reticulum,Plasma membrane,Cytosol
ENSG00000133216	P29323	Supported	Nucleoplasm,Plasma membrane
ENSG00000106123		Uncertain	Nuclear speckles
ENSG00000120915	P34913	Enhanced	Cytosol
ENSG00000105131	Q9H6B9	Approved	Nucleoplasm
ENSG00000172031	Q8IUS5	Approved	Vesicles
ENSG00000112425	O95278	Enhanced	Nucleoplasm
ENSG00000063245	Q9Y6I3	Supported	Nucleoplasm,Vesicles,Plasma membrane,Cytosol
ENSG00000072134	O95208	Supported	Vesicles
ENSG00000049283	Q9H201	Supported	Nucleoplasm,Vesicles
ENSG00000273604	A6NHQ4	Supported	Nucleoplasm,Cytosol,Cytoplasmic bodies
ENSG00000187266	P19235	Supported	Nuclear speckles,Plasma membrane
ENSG00000261150	P58107	Enhanced	Intermediate filaments
ENSG00000136628	P07814	Enhanced	Cytosol
ENSG00000085832	P42566	Enhanced	Vesicles,Cytosol
ENSG00000127527	Q9UBC2	Approved	Vesicles
ENSG00000151491	Q12929	Approved	Golgi apparatus
ENSG00000131037	Q8TE68	Supported	Cytosol
ENSG00000177106	Q9H6S3	Supported	Cytosol
ENSG00000198758	Q8TE67	Approved	Vesicles
ENSG00000120160	Q9NQ60	Approved	Plasma membrane,Actin filaments
ENSG00000132591	O75616	Enhanced	Mitochondria,Cytosol
ENSG00000164307	Q9NZ08	Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000164308	Q6P179	Approved	Golgi apparatus
ENSG00000141736	P04626	Enhanced	Plasma membrane,Cytosol
ENSG00000065361	P21860	Supported	Plasma membrane,Actin filaments
ENSG00000112851	Q96RT1	Supported	Nuclear speckles,Plasma membrane
ENSG00000082805	Q8IUD2	Supported	Vesicles,Plasma membrane,Cytosol
ENSG00000012061	P07992	Enhanced	Nucleoplasm
ENSG00000104884	P18074	Supported	Nucleoplasm,Cytosol
ENSG00000163161	P19447	Enhanced	Nucleoplasm
ENSG00000175595	Q92889	Supported	Nucleoplasm,Nuclear bodies,Plasma membrane
ENSG00000134899	P28715	Supported	Nucleoplasm
ENSG00000225830	P0DP91, Q03468	Approved	Nucleoplasm,Nuclear bodies
ENSG00000186871	Q2NKX8	Uncertain	Nucleoplasm,Centrosome,Cytosol
ENSG00000182150	Q5T890	Approved	Nucleoplasm,Cytosol
ENSG00000049167	Q13216	Approved	Nuclear speckles
ENSG00000124882	O14944	Approved	Vesicles
ENSG00000105722	P50548	Enhanced	Nucleoplasm
ENSG00000157554	P11308	Supported	Nucleoplasm,Cytosol
ENSG00000113719	Q969X5	Enhanced	Nucleoplasm,Vesicles
ENSG00000087502	Q96RQ1	Supported	Nucleoli rim,Golgi apparatus,Vesicles
ENSG00000100632	P84090	Approved	Nucleoplasm,Cytosol
ENSG00000104626	Q8IV48	Approved	Vesicles,Microtubules
ENSG00000196678	A8K979	Supported	Nucleoplasm,Golgi apparatus
ENSG00000117419	O43414	Approved	Nucleoplasm,Cytosol
ENSG00000104714	Q86X53	Approved	Nucleoplasm,Nucleoli fibrillar center,Cytosol
ENSG00000204334	A1L162	Approved	Nucleoli fibrillar center,Vesicles
ENSG00000204978	A6NGS2	Approved	Nucleoplasm,Cytosol
ENSG00000177459	Q6P6B1	Approved	Nucleoplasm,Golgi apparatus,Cytosol
ENSG00000107566	O75477	Supported	Endoplasmic reticulum
ENSG00000147475	O94905	Supported	Endoplasmic reticulum
ENSG00000164010	Q96PL5	Approved	Golgi apparatus,Cytosol
ENSG00000130023	Q5T6L9	Approved	Cytosol
ENSG00000136541	Q8TAM6	Approved	Plasma membrane,Cytosol
ENSG00000134398	Q76MJ5	Approved	Endoplasmic reticulum,Cytosol
ENSG00000089248	P30040	Uncertain	Nucleoplasm,Microtubules
ENSG00000116285	Q9UJM3	Supported	Cytosol
ENSG00000213462	Q14264	Approved	Vesicles
ENSG00000244476	P60508	Uncertain	Nucleoplasm,Plasma membrane,Actin filaments,Cytosol
ENSG00000226887	Q9H9K5	Approved	Nucleoplasm,Cytosol
ENSG00000269526	B6SEH8	Approved	Centrosome,Cytosol
ENSG00000268964	B6SEH9	Approved	Centrosome,Cytosol
ENSG00000149564	Q96AP7	Approved	Cell Junctions,Cytosol
ENSG00000171320	Q56NI9	Supported	Nucleoplasm,Golgi apparatus,Cell Junctions
ENSG00000139684	P10768	Approved	Nucleoplasm,Golgi apparatus,Cytosol
ENSG00000089048	Q9H501	Approved	Nucleoplasm,Nucleoli
ENSG00000135476	Q14674	Supported	Nucleoplasm,Vesicles
ENSG00000187017	B1AK53	Approved	Vesicles
ENSG00000091831	P03372	Approved	Nucleoplasm,Vesicles
ENSG00000140009	Q92731	Supported	Nucleoplasm,Vesicles
ENSG00000104413	Q6NXG1	Enhanced	Nucleoplasm,Nuclear bodies
ENSG00000103067	Q9H6T0	Enhanced	Nucleoplasm
ENSG00000173153	P11474	Supported	Nucleoplasm,Nucleoli fibrillar center,Microtubules,Cytokinetic bridge
ENSG00000119715	O95718	Supported	Nucleoplasm,Cytosol
ENSG00000196482	P62508	Approved	Nucleoplasm
ENSG00000100056	Q96DF8	Approved	Nucleoplasm
ENSG00000123576	Q8N693	Supported	Nuclear speckles
ENSG00000139641	Q9BSJ8	Supported	Endoplasmic reticulum
ENSG00000117868	A0FGR8	Approved	Plasma membrane,Cytosol
ENSG00000143971	Q9NY74	Supported	Nucleoplasm,Cytosol
ENSG00000140374	P13804	Enhanced	Mitochondria
ENSG00000105379	P38117	Enhanced	Mitochondria
ENSG00000105755	O95571	Enhanced	Mitochondria
ENSG00000139163	Q9HBU6	Approved	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000164089	Q8TBG4	Approved	Nucleoplasm
ENSG00000134954	P14921	Enhanced	Nucleoplasm
ENSG00000157557	P15036	Enhanced	Nucleoplasm,Plasma membrane,Cytosol
ENSG00000006468	P50549	Approved	Nucleoplasm
ENSG00000117036	P41162	Approved	Nucleoplasm,Vesicles
ENSG00000175832	P43268	Supported	Nucleoli rim,Mitotic chromosome
ENSG00000244405	P41161	Enhanced	Nucleoplasm
ENSG00000139083	P41212	Approved	Nucleoli,Cytosol
ENSG00000010030	Q9Y603	Supported	Nucleoplasm
ENSG00000115363	Q9H8M9	Supported	Vesicles,Plasma membrane
ENSG00000142694	Q9NVM1	Approved	Cytosol
ENSG00000173040	Q86UK5	Approved	Nucleoplasm,Microtubules,Cytokinetic bridge,Cytosol
ENSG00000126860	P22794	Approved	Nucleoplasm,Nuclear bodies
ENSG00000185862	P34910	Approved	Plasma membrane
ENSG00000067208	O60447	Approved	Golgi apparatus,Vesicles
ENSG00000142459	Q96CN4	Approved	Nuclear bodies
ENSG00000196405	Q9UI08	Approved	Vesicles,Cytosol
ENSG00000167880	Q92817	Supported	Intermediate filaments,Cytosol
ENSG00000214860	A8MZ36	Approved	Nucleoplasm,Nuclear bodies
ENSG00000106038	P49640	Approved	Nucleoplasm
ENSG00000182944	Q01844	Enhanced	Nucleoplasm,Nucleoli rim
ENSG00000081177	Q9NVH0	Approved	Intermediate filaments,Mitochondria
ENSG00000187609	Q8N9H8	Approved	Actin filaments,Focal adhesion sites
