reaction_id	reaction_equation	dead_end_test	duplicate_test_exact	duplicate_test_directions	duplicate_test_coefficients	duplicate_test_redox
MAR06983	MAM00204c + MAM01306c + MAM02630c --> MAM01596c + MAM02767c + MAM02943c	MAM02767c	ok	ok	ok	N/A
MAR06984	MAM02767c + MAM03107c --> MAM01036c + MAM02039c + MAM03106c	MAM01036c;MAM02767c	ok	ok	ok	N/A
MAR06985	MAM01036c + MAM03108c --> MAM00232c + MAM02039c + MAM03106c	MAM00232c;MAM01036c	ok	ok	ok	N/A
MAR08630	2 MAM00981c + MAM02630c --> 2 MAM01414c	MAM01414c	ok	ok	ok	N/A
MAR06925	MAM01013c + MAM02039c + MAM02553c <=> MAM01325c + MAM02552c	MAM01325c	ok	ok	ok	N/A
MAR06926	MAM00667m + MAM01285m + MAM02039m + MAM02751m <=> MAM01371m + MAM02046m + MAM02999m	MAM00667m	ok	ok	ok	N/A
MAR06927	MAM00666m + MAM01597m + MAM02039m <=> MAM00667m + MAM02040m	MAM00666m;MAM00667m	ok	ok	ok	N/A
MAR03743	MAM01597m + MAM02039m + MAM02558m <=> MAM01364m + MAM01986m	MAM02558m	ok	ok	ok	N/A
MAR04227	2 MAM00775c + 4 MAM02630c --> MAM01572c + 4 MAM02039c + 2 MAM02041c + 2 MAM02631c	MAM01572c	ok	ok	ok	N/A
MAR04248	MAM02039c + MAM02667c <=> MAM03151c	MAM02667c	ok	ok	ok	N/A
MAR06708	MAM00221c + MAM02040c <=> MAM02453c + MAM03089c	MAM00221c	ok	ok	ok	N/A
MAR06709	MAM01384c + 2 MAM02040c <=> MAM03089c	MAM01384c	ok	ok	ok	N/A
MAR06711	MAM02877c + MAM03088c --> MAM02039c + MAM02605c + MAM02871c	MAM02605c	ok	ok	ok	N/A
MAR06712	MAM00230c + MAM02040c <=> MAM01831c + MAM03088c	MAM00230c	ok	ok	ok	N/A
MAR06715	MAM02169c + MAM02877c --> MAM02478c + MAM02871c	MAM02478c	ok	ok	ok	N/A
MAR06722	MAM00787c + MAM01306c <=> MAM01974c + MAM02040c + MAM03152c	MAM03152c	ok	ok	ok	N/A
MAR06723	MAM00787c + MAM02026c <=> MAM01979c + MAM02040c	MAM01979c	ok	ok	ok	N/A
MAR06727	MAM02725c --> MAM00647c	MAM00647c	ok	ok	ok	N/A
MAR06735	MAM02875c + MAM02877c --> MAM02039c + MAM02871c + MAM02873c	MAM02873c	ok	ok	ok	N/A
MAR06739	MAM02876c + MAM02877c --> MAM02039c + MAM02871c + MAM02874c	MAM02874c	ok	ok	ok	N/A
MAR06744	MAM02039c + MAM02040c + MAM02599c <=> MAM01290c + MAM01831c	MAM02599c	ok	ok	ok	N/A
MAR06757	MAM00730c + MAM02877c --> MAM00819c + MAM02039c + MAM02871c	MAM00819c	ok	ok	ok	N/A
MAR06759	MAM00728c + MAM01736c <=> MAM02040c + MAM02621c	MAM02621c	ok	ok	ok	N/A
MAR06771	MAM01005c --> MAM00643c	MAM00643c	ok	ok	ok	N/A
MAR06788	MAM02877c + MAM03099c --> MAM02039c + MAM02606c + MAM02871c	MAM02606c	ok	ok	ok	N/A
MAR06792	MAM00991c + 2 MAM02039c <=> MAM01003c + MAM02588c	MAM00991c	ok	ok	ok	N/A
MAR06798	MAM00733c + MAM02039c + MAM03106c <=> MAM03052c + MAM03109c	MAM00733c	ok	ok	ok	N/A
MAR06799	MAM03052r + MAM03109r --> MAM00733r + MAM02039r + MAM03106r	MAM00733r	ok	ok	ok	N/A
MAR06800	MAM00732c + MAM02039c + MAM03106c <=> MAM02998c + MAM03109c	MAM00732c	ok	ok	ok	N/A
MAR06801	MAM02998r + MAM03109r --> MAM00732r + MAM02039r + MAM03106r	MAM00732r;MAM02998r	ok	ok	ok	N/A
MAR06802	MAM02606c + MAM02877c --> MAM02039c + MAM02138c + MAM02871c	MAM02138c;MAM02606c	ok	ok	ok	N/A
MAR06803	MAM02138c + MAM02630c --> MAM02040c + MAM02499c	MAM02138c;MAM02499c	ok	ok	ok	N/A
MAR06806	2 MAM02039c + MAM02500c <=> MAM02499c	MAM02499c;MAM02500c	ok	ok	ok	N/A
MAR06814	MAM01333c + MAM02554c <=> MAM01739c + MAM02555c	MAM01333c	ok	ok	ok	N/A
MAR06815	MAM01136c <=> MAM01739c + MAM02026c	MAM01136c	ok	ok	ok	N/A
MAR06818	MAM01290c + MAM02630c --> MAM01292c + MAM02039c + 2 MAM02040c	MAM01292c	ok	ok	ok	N/A
MAR06819	MAM01293c + MAM02039c + MAM02554c <=> MAM01292c + MAM02555c	MAM01292c;MAM01293c	ok	ok	ok	N/A
MAR06820	MAM01135c <=> MAM01292c + MAM02026c	MAM01135c;MAM01292c	ok	ok	ok	N/A
MAR06822	MAM02617c --> 5 MAM02039c + MAM02618c	MAM02618c	ok	ok	ok	N/A
MAR06823	MAM02039c + MAM02554c + MAM02619c <=> MAM02555c + MAM02618c	MAM02618c;MAM02619c	ok	ok	ok	N/A
MAR06824	MAM01140c <=> MAM02026c + MAM02618c	MAM01140c;MAM02618c	ok	ok	ok	N/A
MAR06827	MAM00720r + MAM02174r + MAM02554r <=> MAM02555r + MAM03052r	MAM00720r	ok	ok	ok	N/A
MAR06828	MAM00720c + MAM03109c --> MAM00722c + MAM02039c + MAM03106c	MAM00722c	ok	ok	ok	N/A
MAR06830	MAM00720r + MAM03109r --> MAM00722r + MAM02039r + MAM03106r	MAM00720r;MAM00722r	ok	ok	ok	N/A
MAR06835	MAM00720r + MAM02174r + MAM02554r <=> MAM02555r + MAM02839r	MAM00720r;MAM02839r	ok	ok	ok	N/A
MAR06836	MAM00719c + MAM02039c + MAM03106c <=> MAM02839c + MAM03109c	MAM00719c	ok	ok	ok	N/A
MAR06837	MAM02839r + MAM03109r --> MAM00719r + MAM02039r + MAM03106r	MAM00719r;MAM02839r	ok	ok	ok	N/A
MAR06842	MAM00738c + MAM02039c + MAM03106c <=> MAM00736c + MAM03109c	MAM00738c	ok	ok	ok	N/A
MAR06843	MAM00736r + MAM03109r --> MAM00738r + MAM02039r + MAM03106r	MAM00738r	ok	ok	ok	N/A
MAR06855	MAM02174r + MAM02554r + MAM03052r <=> MAM02555r + MAM02998r	MAM02998r	ok	ok	ok	N/A
MAR06878	MAM01043c + MAM02354c <=> MAM01134c + MAM02356c	MAM01043c	ok	ok	ok	N/A
MAR06879	MAM00249c + MAM02039c + MAM02040c <=> MAM01043c	MAM00249c;MAM01043c	ok	ok	ok	N/A
MAR06880	MAM00249c + MAM01134c <=> MAM00723c + MAM01043c	MAM00249c;MAM00723c;MAM01043c	ok	ok	ok	N/A
MAR06881	MAM00723c --> MAM01381c + MAM01596c + MAM02039c	MAM00723c;MAM01381c	ok	ok	ok	N/A
MAR06882	MAM00735c <=> MAM01381c + MAM02040c	MAM00735c;MAM01381c	ok	ok	ok	N/A
MAR06885	MAM02355c + MAM02555c <=> MAM01735c + MAM02039c + MAM02554c	MAM01735c	ok	ok	ok	N/A
MAR06886	MAM01137c <=> MAM02026c + MAM02355c	MAM01137c	ok	ok	ok	N/A
MAR06889	MAM01053c + MAM02630c --> MAM01059c + MAM02041c	MAM01059c	ok	ok	ok	N/A
MAR03922	MAM01597m + MAM02039m + MAM02533m <=> MAM01261m + MAM02349m	MAM02349m;MAM02533m	ok	ok	ok	N/A
MAR04072	MAM01721c + MAM02877c --> MAM01722c + MAM02039c + MAM02871c	MAM01721c;MAM01722c	ok	ok	ok	N/A
MAR05388	MAM00245c + MAM02630c --> MAM00684c + MAM01595c + MAM01833c + 2 MAM02039c	MAM00684c	ok	ok	ok	N/A
MAR06523	MAM02039c + MAM02041c + MAM02986c <=> MAM02040c + MAM02158c	MAM02158c	ok	ok	ok	N/A
MAR08683	MAM01629c + MAM02040c --> MAM02039c + MAM02578c + MAM02819c + MAM02987c	MAM02987c	ok	ok	ok	N/A
MAR08684	MAM01306m + MAM01628m <=> MAM01974m + MAM02464m	MAM02464m	ok	ok	ok	N/A
MAR04688	MAM00969m + MAM02040m + MAM02552m --> MAM00970m + 2 MAM02039m + MAM02553m	MAM00969m	ok	ok	ok	N/A
MAR07132	MAM01371c + MAM02040c + MAM02886c --> MAM01334c + MAM02751c + MAM02894c	MAM02894c	ok	ok	ok	N/A
MAR07134	MAM02040c + MAM02888c <=> MAM00671c + MAM02039c + MAM02578c + MAM02889c	MAM02888c	ok	ok	ok	N/A
MAR07135	MAM02040c + MAM02888c --> MAM02890c + MAM02896c	MAM02888c;MAM02890c	ok	ok	ok	N/A
MAR07136	MAM02040c + MAM02881c <=> MAM01280c + MAM02890c	MAM02881c;MAM02890c	ok	ok	ok	N/A
MAR07138	MAM02039c + MAM02555c + MAM02630c + MAM02891c --> MAM02040c + MAM02554c + MAM02892c	MAM02892c	ok	ok	ok	N/A
MAR07139	MAM01371c + MAM02040c + MAM02891c <=> MAM02751c + MAM02759c + MAM02882c	MAM02882c	ok	ok	ok	N/A
MAR07620	MAM01371c + MAM02891c + MAM03075c --> MAM01334c + MAM02759c + MAM02893c	MAM02893c	ok	ok	ok	N/A
MAR08640	MAM01721n + MAM02882n --> MAM01722n + MAM02039n + MAM02881n	MAM02881n;MAM02882n	ok	ok	ok	N/A
MAR07696	MAM01753c + MAM01967c + MAM02039c --> MAM01751c + MAM02759c	MAM01751c	ok	ok	ok	N/A
MAR07697	MAM01751c --> MAM00946c + MAM02040c	MAM00946c;MAM01751c	ok	ok	ok	N/A
MAR07698	MAM01750c <=> MAM01751c	MAM01750c;MAM01751c	ok	ok	ok	N/A
MAR08672	MAM02039g + MAM03109g --> MAM01596g + MAM03112g	MAM01596g;MAM03112g	ok	ok	ok	N/A
MAR08674	MAM00946c --> MAM01748c	MAM00946c;MAM01748c	ok	ok	ok	N/A
MAR08675	MAM01748c + MAM02039c + MAM02555c --> MAM01749c + MAM02554c	MAM01748c;MAM01749c	ok	ok	ok	N/A
MAR05144	MAM00266c + MAM02408c --> MAM02576c + MAM02980c	MAM02576c	ok	ok	ok	N/A
MAR07256	MAM01732c + MAM02040c --> MAM01733c + MAM02039c + MAM02751c	MAM01732c	ok	ok	ok	N/A
MAR07616	MAM00196c + MAM03101c --> MAM00206c + MAM02040c	MAM00206c	ok	ok	ok	N/A
MAR07619	MAM00206c + MAM02682c <=> MAM00217c + MAM02039c + MAM02681c	MAM00206c;MAM00217c	ok	ok	ok	N/A
MAR04188	2 MAM02039c + 4 MAM02555c + MAM02682c --> MAM01267c + 3 MAM02040c + 4 MAM02554c + MAM02681c	MAM01267c	ok	ok	ok	N/A
MAR04842	MAM02877c --> MAM01266c + MAM02871c	MAM01266c	ok	ok	ok	N/A
MAR02437	MAM02387c + MAM02630c --> MAM01217c	MAM01217c	ok	ok	ok	N/A
MAR02438	MAM01217c + MAM02039c + MAM02555c <=> MAM01243c + MAM02040c + MAM02554c	MAM01217c;MAM01243c	ok	ok	ok	N/A
MAR02444	MAM00362c + MAM02695c <=> MAM00363c	MAM00362c;MAM02695c	ok	ok	ok	N/A
MAR02448	MAM00311c + MAM02039c <=> MAM02641c + MAM03036c	MAM02641c;MAM03036c	ok	ok	ok	N/A
MAR02461	MAM01220c + MAM03109c <=> MAM01240c + MAM02039c + MAM03106c	MAM01240c	ok	ok	ok	N/A
MAR02462	MAM01220r + MAM03109r --> MAM01240r + MAM02039r + MAM03106r	MAM01240r	ok	ok	ok	N/A
MAR06402	MAM02643m + MAM20087m --> MAM00210m + MAM02484m	MAM00210m;MAM02484m;MAM02643m;MAM20087m	ok	ok	ok	N/A
MAR06403	MAM00210m + 3 MAM02039m + MAM02555m + 2 MAM02877m + MAM20084m --> MAM00208m + 2 MAM01098m + 4 MAM01821m + 2 MAM02042m + 2 MAM02471m + MAM02554m	MAM00210m;MAM01098m;MAM02042m;MAM20084m	ok	ok	ok	N/A
MAR03444	MAM01364m + MAM01802m --> MAM00682m + MAM01803m	MAM00682m	ok	ok	ok	N/A
MAR03445	MAM00682m --> MAM03033m	MAM00682m;MAM03033m	ok	ok	ok	N/A
MAR03446	MAM00682m + MAM02039m + MAM02555m --> MAM02554m + MAM03034m	MAM00682m;MAM03034m	ok	ok	ok	N/A
MAR03447	MAM03034m --> MAM03029m	MAM03029m;MAM03034m	ok	ok	ok	N/A
MAR03448	MAM01697m + MAM01802m --> MAM01803m + MAM03029m	MAM03029m	ok	ok	ok	N/A
MAR03449	MAM02040m + MAM03029m --> MAM00710m	MAM00710m;MAM03029m	ok	ok	ok	N/A
MAR03450	MAM00710m + MAM02552m --> MAM00859m + MAM02039m + MAM02553m	MAM00710m;MAM00859m	ok	ok	ok	N/A
MAR03459	MAM01364x + MAM01802x --> MAM00682x + MAM01803x	MAM00682x	ok	ok	ok	N/A
MAR03460	MAM00682x --> MAM03033x	MAM00682x;MAM03033x	ok	ok	ok	N/A
