gene,symbol,hop,any_verdict,any_count,viability_verdict,viability_count,hart_verdict,DLD1_before_tasks,DLD1_after_tasks,DLD1_before_growth,DLD1_after_growth,GBM_before_tasks,GBM_after_tasks,GBM_before_growth,GBM_after_growth,HCT116_before_tasks,HCT116_after_tasks,HCT116_before_growth,HCT116_after_growth,HELA_before_tasks,HELA_after_tasks,HELA_before_growth,HELA_after_growth,RPE1_before_tasks,RPE1_after_tasks,RPE1_before_growth,RPE1_after_growth
ENSG00000070961,ATP2B1,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000071073,MGAT4A,direct,stable,,stable,,n/a,.,,,1.000000,.,.,,,,,1.000000,1.000000,.,.,,,.,.,,
ENSG00000071553,ATP6AP1,direct,stable,,stable,,n/a,.,,,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,.,,,1.000000
ENSG00000071794,HLTF,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000071967,CYBRD1,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000072041,SLC6A15,direct,stable,,stable,,n/a,.,.,,,,,1.000000,1.000000,.,.,,,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000072042,RDH11,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000072210,ALDH3A2,direct,isolated (likely noise),2/5,stable,,n/a,,,1.000000,1.000000,BS|SU,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,BS|SU,1.000000,1.000000
ENSG00000072274,TFRC,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000072401,UBE2D1,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000072506,HSD17B10,direct,stable,,stable,,n/a,BS|SU,BS|SU,1.000000,1.000000,BS|SU,BS|SU,0.999990,1.000000,BS|SU,BS|SU,1.000000,1.000000,BS|SU,BS|SU,0.999990,1.000000,BS|SU,BS|SU,0.999990,1.000000
ENSG00000072609,CHFR,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000072657,TRHDE,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000072682,P4HA2,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000072778,ACADVL,direct,consensus gained,4/5,stable,,n/a,,SU,1.000000,1.000000,,SU,1.000000,1.000000,,SU,1.000000,1.000000,SU,SU,1.000000,1.000000,,SU,1.000000,1.000000
ENSG00000073060,SCARB1,direct,stable,,stable,,n/a,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000,GR,GR,0.000000,0.000000
ENSG00000073417,PDE8A,direct,stable,,stable,,n/a,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000,,,1.000000,1.000000
ENSG00000073578,SDHA,direct,stable,,stable,,n/a,BS|ER|SU,BS|ER|SU,0.988045,0.997791,BS|ER|SU,BS|ER|SU,0.988011,0.998830,BS|ER|SU,ER,0.995879,0.996579,BS|ER|SU,BS|ER|SU,0.988051,0.996599,BS|ER|SU,BS|ER|SU,0.988155,0.995575
ENSG00000073734,ABCB11,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
ENSG00000073737,DHRS9,direct,stable,,stable,,n/a,.,.,,,.,.,,,.,.,,,.,.,,,.,.,,
