rxn	grRule_original	grRule_curated
HMR_7617	ENSG00000000938 or ENSG00000007264 or ENSG00000010219 or ENSG00000010671 or ENSG00000010810 or ENSG00000013441 or ENSG00000027644 or ENSG00000030304 or ENSG00000034152 or ENSG00000037280 or ENSG00000044524 or ENSG00000047936 or ENSG00000060140 or ENSG00000061938 or ENSG00000062524 or ENSG00000065361 or ENSG00000065559 or ENSG00000066056 or ENSG00000066468 or ENSG00000068078 or ENSG00000070759 or ENSG00000070886 or ENSG00000074966 or ENSG00000076984 or ENSG00000077782 or ENSG00000080224 or ENSG00000092445 or ENSG00000096968 or ENSG00000097007 or ENSG00000101213 or ENSG00000101336 or ENSG00000102010 or ENSG00000102755 or ENSG00000103653 or ENSG00000105204 or ENSG00000105397 or ENSG00000105639 or ENSG00000105976 or ENSG00000106123 or ENSG00000107140 or ENSG00000108984 or ENSG00000111816 or ENSG00000112655 or ENSG00000112742 or ENSG00000113240 or ENSG00000113263 or ENSG00000113721 or ENSG00000115085 or ENSG00000116106 or ENSG00000120156 or ENSG00000120899 or ENSG00000122025 or ENSG00000125508 or ENSG00000126934 or ENSG00000127334 or ENSG00000128052 or ENSG00000133216 or ENSG00000134853 or ENSG00000135333 or ENSG00000135605 or ENSG00000136573 or ENSG00000137332 or ENSG00000137764 or ENSG00000140443 or ENSG00000140538 or ENSG00000141736 or ENSG00000142235 or ENSG00000142627 or ENSG00000143322 or ENSG00000143479 or ENSG00000145242 or ENSG00000146648 or ENSG00000146904 or ENSG00000148053 or ENSG00000151422 or ENSG00000153208 or ENSG00000154928 or ENSG00000157404 or ENSG00000157540 or ENSG00000160867 or ENSG00000162434 or ENSG00000162733 or ENSG00000163785 or ENSG00000164078 or ENSG00000164715 or ENSG00000165025 or ENSG00000165731 or ENSG00000167601 or ENSG00000167778 or ENSG00000168078 or ENSG00000169032 or ENSG00000169071 or ENSG00000169398 or ENSG00000171094 or ENSG00000171105 or ENSG00000173517 or ENSG00000174292 or ENSG00000176105 or ENSG00000176444 or ENSG00000178568 or ENSG00000179335 or ENSG00000182511 or ENSG00000182578 or ENSG00000182580 or ENSG00000182866 or ENSG00000183317 or ENSG00000185483 or ENSG00000196411 or ENSG00000197122 or ENSG00000198400 or ENSG00000204580 or ENSG00000215522 or ENSG00000223680 or ENSG00000229767 or ENSG00000230456 or ENSG00000234078 or ENSG00000248099 or ENSG00000254087 or ENSG00000261893 or ENSG00000275342 or ENSG00000275482 or ENSG00000281320 or ENSG00000283781 or ENSG00000284816 or ENSG00000285369	ENSG00000169398 or ENSG00000197122 or (ENSG00000141736 and ENSG00000146648) or (ENSG00000126934 and ENSG00000169032) or (ENSG00000120899 and ENSG00000146904 and ENSG00000182866) or (ENSG00000037280 and ENSG00000128052) or ENSG00000010810 or ENSG00000182866 or ENSG00000254087 or ENSG00000010810 or ENSG00000176105 or ENSG00000254087 or ENSG00000010810 or ENSG00000066468 or ENSG00000254087 or ENSG00000000938 or ENSG00000007264 or ENSG00000010219 or ENSG00000010671 or ENSG00000010810 or ENSG00000013441 or ENSG00000027644 or ENSG00000030304 or ENSG00000034152 or ENSG00000037280 or ENSG00000044524 or ENSG00000047936 or ENSG00000060140 or ENSG00000061938 or ENSG00000062524 or ENSG00000065361 or ENSG00000065559 or ENSG00000066056 or ENSG00000068078 or ENSG00000070759 or ENSG00000070886 or ENSG00000074966 or ENSG00000076984 or ENSG00000077782 or ENSG00000080224 or ENSG00000092445 or ENSG00000096968 or ENSG00000097007 or ENSG00000101213 or ENSG00000101336 or ENSG00000102010 or ENSG00000102755 or ENSG00000103653 or ENSG00000105204 or ENSG00000105397 or ENSG00000105639 or ENSG00000105976 or ENSG00000106123 or ENSG00000107140 or ENSG00000108984 or ENSG00000111816 or ENSG00000112655 or ENSG00000112742 or ENSG00000113240 or ENSG00000113263 or ENSG00000113721 or ENSG00000115085 or ENSG00000116106 or ENSG00000120156 or ENSG00000120899 or ENSG00000122025 or ENSG00000125508 or ENSG00000127334 or ENSG00000128052 or ENSG00000133216 or ENSG00000134853 or ENSG00000135333 or ENSG00000135605 or ENSG00000136573 or ENSG00000137332 or ENSG00000137764 or ENSG00000140443 or ENSG00000140538 or ENSG00000141736 or ENSG00000142235 or ENSG00000142627 or ENSG00000143322 or ENSG00000143479 or ENSG00000145242 or ENSG00000146648 or ENSG00000148053 or ENSG00000151422 or ENSG00000153208 or ENSG00000154928 or ENSG00000157404 or ENSG00000157540 or ENSG00000160867 or ENSG00000162434 or ENSG00000162733 or ENSG00000163785 or ENSG00000164078 or ENSG00000164715 or ENSG00000165025 or ENSG00000165731 or ENSG00000167601 or ENSG00000167778 or ENSG00000168078 or ENSG00000169032 or ENSG00000169071 or ENSG00000169398 or ENSG00000171094 or ENSG00000171105 or ENSG00000173517 or ENSG00000174292 or ENSG00000176444 or ENSG00000178568 or ENSG00000179335 or ENSG00000182511 or ENSG00000182578 or ENSG00000182580 or ENSG00000182866 or ENSG00000183317 or ENSG00000185483 or ENSG00000196411 or ENSG00000197122 or ENSG00000198400 or ENSG00000204580 or ENSG00000215522 or ENSG00000223680 or ENSG00000229767 or ENSG00000230456 or ENSG00000234078 or ENSG00000248099 or ENSG00000254087 or ENSG00000261893 or ENSG00000275342 or ENSG00000275482 or ENSG00000281320 or ENSG00000283781 or ENSG00000284816 or ENSG00000285369
HMR_4147	ENSG00000136143 or ENSG00000163541 or ENSG00000172340	(ENSG00000163541 and ENSG00000172340) or (ENSG00000136143 and ENSG00000163541)
HMR_6914	ENSG00000014919 or ENSG00000111775 or ENSG00000112695 or ENSG00000115944 or ENSG00000126267 or ENSG00000127184 or ENSG00000131055 or ENSG00000131143 or ENSG00000131174 or ENSG00000135940 or ENSG00000138495 or ENSG00000156885 or ENSG00000160471 or ENSG00000161281 or ENSG00000164919 or ENSG00000170516 or ENSG00000176340 or ENSG00000178741 or ENSG00000187581 or ENSG00000198712 or ENSG00000198804 or ENSG00000198938	(ENSG00000014919 and ENSG00000131143 and ENSG00000164919 and ENSG00000178741 and ENSG00000198712 and ENSG00000198804 and ENSG00000198938) or ENSG00000111775 or ENSG00000112695 or ENSG00000115944 or ENSG00000126267 or ENSG00000127184 or ENSG00000131055 or ENSG00000131174 or ENSG00000135940 or ENSG00000138495 or ENSG00000156885 or ENSG00000160471 or ENSG00000161281 or ENSG00000170516 or ENSG00000176340 or ENSG00000187581 or ENSG00000198712 or ENSG00000198804
HMR_6916	ENSG00000099624 or ENSG00000110955 or ENSG00000116459 or ENSG00000123472 or ENSG00000124172 or ENSG00000125375 or ENSG00000135390 or ENSG00000152234 or ENSG00000154518 or ENSG00000154723 or ENSG00000156411 or ENSG00000159199 or ENSG00000165629 or ENSG00000167283 or ENSG00000167863 or ENSG00000169020 or ENSG00000171953 or ENSG00000173915 or ENSG00000198899 or ENSG00000228253 or ENSG00000241468 or ENSG00000241837 or ENSG00000249222	(ENSG00000099624 and ENSG00000110955 and ENSG00000116459 and ENSG00000124172 and ENSG00000152234 and ENSG00000154723 and ENSG00000159199 and ENSG00000165629 and ENSG00000167283 and ENSG00000167863 and ENSG00000169020 and ENSG00000198899 and ENSG00000228253 and ENSG00000241468 and ENSG00000241837) or ENSG00000123472 or ENSG00000125375 or ENSG00000135390 or ENSG00000154518 or ENSG00000156411 or ENSG00000171953 or ENSG00000173915 or ENSG00000249222
HMR_6921	ENSG00000004779 or ENSG00000023228 or ENSG00000065518 or ENSG00000090266 or ENSG00000099795 or ENSG00000103356 or ENSG00000109390 or ENSG00000110717 or ENSG00000113141 or ENSG00000115286 or ENSG00000119013 or ENSG00000119421 or ENSG00000125356 or ENSG00000128609 or ENSG00000130414 or ENSG00000131495 or ENSG00000136521 or ENSG00000139180 or ENSG00000140990 or ENSG00000145494 or ENSG00000147123 or ENSG00000147684 or ENSG00000151366 or ENSG00000158864 or ENSG00000160194 or ENSG00000164258 or ENSG00000165264 or ENSG00000166136 or ENSG00000167774 or ENSG00000167792 or ENSG00000168653 or ENSG00000170906 or ENSG00000174886 or ENSG00000178127 or ENSG00000183648 or ENSG00000184752 or ENSG00000184983 or ENSG00000185633 or ENSG00000186010 or ENSG00000189043 or ENSG00000198695 or ENSG00000198763 or ENSG00000198786 or ENSG00000198840 or ENSG00000198886 or ENSG00000198888 or ENSG00000212907 or ENSG00000213619 or ENSG00000283447	(ENSG00000004779 and ENSG00000023228 and ENSG00000065518 and ENSG00000090266 and ENSG00000099795 and ENSG00000109390 and ENSG00000110717 and ENSG00000115286 and ENSG00000119013 and ENSG00000119421 and ENSG00000125356 and ENSG00000128609 and ENSG00000130414 and ENSG00000131495 and ENSG00000136521 and ENSG00000139180 and ENSG00000140990 and ENSG00000145494 and ENSG00000147123 and ENSG00000147684 and ENSG00000151366 and ENSG00000158864 and ENSG00000160194 and ENSG00000164258 and ENSG00000165264 and ENSG00000166136 and ENSG00000167792 and ENSG00000168653 and ENSG00000174886 and ENSG00000178127 and ENSG00000183648 and ENSG00000184752 and ENSG00000186010 and ENSG00000189043 and ENSG00000198695 and ENSG00000198763 and ENSG00000198786 and ENSG00000198840 and ENSG00000198888 and ENSG00000212907 and ENSG00000213619 and ENSG00000198764 and ENSG00000198765) or ENSG00000103356 or ENSG00000113141 or ENSG00000167774 or ENSG00000170906 or ENSG00000184983 or ENSG00000185633 or ENSG00000198886 or ENSG00000198888 or ENSG00000213619 or ENSG00000283447
HMR_7166	ENSG00000125954 or ENSG00000168522 or ENSG00000257365	(ENSG00000168522 and ENSG00000257365) or ENSG00000125954
HMR_8379	ENSG00000007541 or ENSG00000100564 or ENSG00000135845 or ENSG00000138641 or ENSG00000145337 or ENSG00000165195 or ENSG00000185808 or ENSG00000255072	(ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195) or ENSG00000138641 or ENSG00000145337 or ENSG00000185808 or ENSG00000255072
HMR_7185	ENSG00000007541 or ENSG00000100564 or ENSG00000135845 or ENSG00000138641 or ENSG00000145337 or ENSG00000165195 or ENSG00000185808 or ENSG00000255072	(ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195) or ENSG00000138641 or ENSG00000145337 or ENSG00000185808 or ENSG00000255072
HMR_0024	ENSG00000005339 or ENSG00000069667 or ENSG00000082014 or ENSG00000084676 or ENSG00000101849 or ENSG00000115641 or ENSG00000124151 or ENSG00000125686 or ENSG00000126368 or ENSG00000127511 or ENSG00000130589 or ENSG00000134317 or ENSG00000137574 or ENSG00000140396 or ENSG00000141027 or ENSG00000142453 or ENSG00000148677 or ENSG00000163586 or ENSG00000169375 or ENSG00000171720 or ENSG00000177200 or ENSG00000177565 or ENSG00000186350 or ENSG00000186951 or ENSG00000196498 or ENSG00000198646	(ENSG00000101849 and ENSG00000171720 and ENSG00000177565 and ENSG00000196498 and ENSG00000141027) or ENSG00000082014 or ENSG00000169375 or ENSG00000005339 or ENSG00000186350 or  (ENSG00000005339 and ENSG00000124151 and ENSG00000140396) or ENSG00000005339 or ENSG00000084676 or ENSG00000140396 or (ENSG00000169375 and ENSG00000196498) or (ENSG00000141027 and ENSG00000169375) or (ENSG00000141027 and ENSG00000169375 and ENSG00000171720 and ENSG00000196498) or ENSG00000127511 or ENSG00000169375 or ENSG00000127511 or ENSG00000169375 or ENSG00000196498 or ENSG00000005339 or ENSG00000069667 or ENSG00000084676 or ENSG00000101849 or ENSG00000115641 or ENSG00000124151 or ENSG00000125686 or ENSG00000126368 or ENSG00000130589 or ENSG00000134317 or ENSG00000137574 or ENSG00000141027 or ENSG00000142453 or ENSG00000148677 or ENSG00000163586 or ENSG00000169375 or ENSG00000171720 or ENSG00000177200 or ENSG00000186951 or ENSG00000196498 or ENSG00000198646
HMR_7565	ENSG00000064601 or ENSG00000068001 or ENSG00000106302 or ENSG00000106304 or ENSG00000114378 or ENSG00000141012 or ENSG00000170266 or ENSG00000186792	ENSG00000064601 or ENSG00000141012 or ENSG00000170266 or ENSG00000068001 or ENSG00000106302 or ENSG00000106304 or ENSG00000114378 or ENSG00000186792
HMR_6548	ENSG00000011405 or ENSG00000133056 or ENSG00000139144 or ENSG00000141506	(ENSG00000011405 and ENSG00000133056) or ENSG00000139144 or ENSG00000141506
HMR_6555	ENSG00000051382 or ENSG00000105647 or ENSG00000105851 or ENSG00000117461 or ENSG00000121879 or ENSG00000126264 or ENSG00000141506 or ENSG00000145675 or ENSG00000171608 or ENSG00000276231	(ENSG00000121879 and ENSG00000145675) or ENSG00000051382 or ENSG00000105647 or ENSG00000105851 or ENSG00000117461 or ENSG00000126264 or ENSG00000141506 or ENSG00000145675 or ENSG00000171608 or ENSG00000276231
HMR_8819	ENSG00000011405 or ENSG00000133056 or ENSG00000139144	(ENSG00000011405 and ENSG00000133056) or ENSG00000139144
HMR_8825	ENSG00000011405 or ENSG00000133056 or ENSG00000139144	(ENSG00000011405 and ENSG00000133056) or ENSG00000139144
HMR_8827	ENSG00000011405 or ENSG00000133056 or ENSG00000139144	(ENSG00000011405 and ENSG00000133056) or ENSG00000139144
HMR_9487	ENSG00000041880 or ENSG00000059378 or ENSG00000102699 or ENSG00000105939 or ENSG00000107854 or ENSG00000111224 or ENSG00000129484 or ENSG00000137817 or ENSG00000138496 or ENSG00000138617 or ENSG00000143799 or ENSG00000151883 or ENSG00000163659 or ENSG00000173193 or ENSG00000173200 or ENSG00000173273 or ENSG00000178685 or ENSG00000285372	(ENSG00000107854 and ENSG00000173273) or ENSG00000041880 or ENSG00000059378 or ENSG00000102699 or ENSG00000105939 or ENSG00000111224 or ENSG00000129484 or ENSG00000137817 or ENSG00000138496 or ENSG00000138617 or ENSG00000143799 or ENSG00000151883 or ENSG00000163659 or ENSG00000173193 or ENSG00000173200 or ENSG00000173273 or ENSG00000178685 or ENSG00000285372
HMR_9488	ENSG00000044446 or ENSG00000067177 or ENSG00000102893 or ENSG00000143933 or ENSG00000156873 or ENSG00000160014 or ENSG00000164776 or ENSG00000198668	(ENSG00000067177 and ENSG00000102893 and ENSG00000164776) or ENSG00000044446 or ENSG00000143933 or ENSG00000156873 or ENSG00000160014 or ENSG00000198668
HMR_9491	ENSG00000002746 or ENSG00000005810 or ENSG00000007944 or ENSG00000009335 or ENSG00000011275 or ENSG00000012963 or ENSG00000013561 or ENSG00000024048 or ENSG00000033178 or ENSG00000034677 or ENSG00000049759 or ENSG00000069869 or ENSG00000070423 or ENSG00000070950 or ENSG00000071794 or ENSG00000072401 or ENSG00000072609 or ENSG00000075975 or ENSG00000077152 or ENSG00000077721 or ENSG00000078140 or ENSG00000078747 or ENSG00000078967 or ENSG00000080802 or ENSG00000082996 or ENSG00000085382 or ENSG00000086758 or ENSG00000089234 or ENSG00000090432 or ENSG00000092098 or ENSG00000092148 or ENSG00000099785 or ENSG00000099804 or ENSG00000100814 or ENSG00000101695 or ENSG00000101752 or ENSG00000101871 or ENSG00000102858 or ENSG00000103266 or ENSG00000103275 or ENSG00000103549 or ENSG00000103657 or ENSG00000104343 or ENSG00000104517 or ENSG00000105879 or ENSG00000106459 or ENSG00000107341 or ENSG00000107954 or ENSG00000108106 or ENSG00000108523 or ENSG00000108854 or ENSG00000109332 or ENSG00000110107 or ENSG00000110344 or ENSG00000110395 or ENSG00000112130 or ENSG00000113269 or ENSG00000114062 or ENSG00000114423 or ENSG00000115392 or ENSG00000115760 or ENSG00000116514 or ENSG00000118518 or ENSG00000119048 or ENSG00000119401 or ENSG00000121481 or ENSG00000122257 or ENSG00000123124 or ENSG00000126107 or ENSG00000126261 or ENSG00000127481 or ENSG00000128731 or ENSG00000130725 or ENSG00000130939 or ENSG00000130985 or ENSG00000131508 or ENSG00000131653 or ENSG00000132256 or ENSG00000132388 or ENSG00000133135 or ENSG00000133606 or ENSG00000134758 or ENSG00000135679 or ENSG00000136536 or ENSG00000137393 or ENSG00000138376 or ENSG00000138411 or ENSG00000138641 or ENSG00000138942 or ENSG00000139266 or ENSG00000140367 or ENSG00000142230 or ENSG00000142273 or ENSG00000143207 or ENSG00000144357 or ENSG00000144583 or ENSG00000144744 or ENSG00000145416 or ENSG00000145495 or ENSG00000146373 or ENSG00000146414 or ENSG00000147854 or ENSG00000148356 or ENSG00000148634 or ENSG00000151148 or ENSG00000151692 or ENSG00000153827 or ENSG00000154370 or ENSG00000154447 or ENSG00000155827 or ENSG00000156463 or ENSG00000156587 or ENSG00000158022 or ENSG00000159202 or ENSG00000159459 or ENSG00000159461 or ENSG00000160087 or ENSG00000160714 or ENSG00000162298 or ENSG00000163012 or ENSG00000163162 or ENSG00000163481 or ENSG00000163743 or ENSG00000164068 or ENSG00000164197 or ENSG00000165338 or ENSG00000165406 or ENSG00000166349 or ENSG00000168159 or ENSG00000168411 or ENSG00000170035 or ENSG00000170142 or ENSG00000170881 or ENSG00000172985 or ENSG00000173838 or ENSG00000173926 or ENSG00000175063 or ENSG00000175809 or ENSG00000175931 or ENSG00000176641 or ENSG00000177414 or ENSG00000177889 or ENSG00000179455 or ENSG00000180233 or ENSG00000180537 or ENSG00000181191 or ENSG00000181788 or ENSG00000181852 or ENSG00000182179 or ENSG00000182247 or ENSG00000182670 or ENSG00000183574 or ENSG00000183654 or ENSG00000184182 or ENSG00000184787 or ENSG00000185345 or ENSG00000185651 or ENSG00000186187 or ENSG00000186591 or ENSG00000187566 or ENSG00000188050 or ENSG00000196470 or ENSG00000197323 or ENSG00000197530 or ENSG00000197579 or ENSG00000198060 or ENSG00000198373 or ENSG00000198742 or ENSG00000198833 or ENSG00000198919 or ENSG00000198961 or ENSG00000204227 or ENSG00000204308 or ENSG00000206287 or ENSG00000214357 or ENSG00000215218 or ENSG00000223767 or ENSG00000225452 or ENSG00000226788 or ENSG00000227277 or ENSG00000228405 or ENSG00000228520 or ENSG00000228907 or ENSG00000231115 or ENSG00000235107 or ENSG00000239305 or ENSG00000265491 or ENSG00000276043 or ENSG00000276380 or ENSG00000276802 or ENSG00000277278 or ENSG00000278545 or ENSG00000278787 or ENSG00000284126 or ENSG00000285152 or ENSG00000285426	(ENSG00000103549 and ENSG00000155827) or ENSG00000170142 or ENSG00000162298 or ENSG00000198833 or ENSG00000138376 or ENSG00000185651 or (ENSG00000126261 and ENSG00000142230) or (ENSG00000121481 and ENSG00000204227) or ENSG00000109332 or ENSG00000138376 or ENSG00000077721 or ENSG00000127481 or ENSG00000002746 or ENSG00000005810 or ENSG00000007944 or ENSG00000009335 or ENSG00000011275 or ENSG00000012963 or ENSG00000013561 or ENSG00000024048 or ENSG00000033178 or ENSG00000034677 or ENSG00000049759 or ENSG00000069869 or ENSG00000070423 or ENSG00000070950 or ENSG00000071794 or ENSG00000072401 or ENSG00000072609 or ENSG00000075975 or ENSG00000077152 or ENSG00000078140 or ENSG00000078747 or ENSG00000078967 or ENSG00000080802 or ENSG00000082996 or ENSG00000085382 or ENSG00000086758 or ENSG00000089234 or ENSG00000090432 or ENSG00000092098 or ENSG00000092148 or ENSG00000099785 or ENSG00000099804 or ENSG00000100814 or ENSG00000101695 or ENSG00000101752 or ENSG00000101871 or ENSG00000102858 or ENSG00000103266 or ENSG00000103275 or ENSG00000103657 or ENSG00000104343 or ENSG00000104517 or ENSG00000105879 or ENSG00000106459 or ENSG00000107341 or ENSG00000107954 or ENSG00000108106 or ENSG00000108523 or ENSG00000108854 or ENSG00000110107 or ENSG00000110344 or ENSG00000110395 or ENSG00000112130 or ENSG00000113269 or ENSG00000114062 or ENSG00000114423 or ENSG00000115392 or ENSG00000115760 or ENSG00000116514 or ENSG00000118518 or ENSG00000119048 or ENSG00000119401 or ENSG00000121481 or ENSG00000122257 or ENSG00000123124 or ENSG00000126107 or ENSG00000128731 or ENSG00000130725 or ENSG00000130939 or ENSG00000130985 or ENSG00000131508 or ENSG00000131653 or ENSG00000132256 or ENSG00000132388 or ENSG00000133135 or ENSG00000133606 or ENSG00000134758 or ENSG00000135679 or ENSG00000136536 or ENSG00000137393 or ENSG00000138376 or ENSG00000138411 or ENSG00000138641 or ENSG00000138942 or ENSG00000139266 or ENSG00000140367 or ENSG00000142273 or ENSG00000143207 or ENSG00000144357 or ENSG00000144583 or ENSG00000144744 or ENSG00000145416 or ENSG00000145495 or ENSG00000146373 or ENSG00000146414 or ENSG00000147854 or ENSG00000148356 or ENSG00000148634 or ENSG00000151148 or ENSG00000151692 or ENSG00000153827 or ENSG00000154370 or ENSG00000154447 or ENSG00000156463 or ENSG00000156587 or ENSG00000158022 or ENSG00000159202 or ENSG00000159459 or ENSG00000159461 or ENSG00000160087 or ENSG00000160714 or ENSG00000162298 or ENSG00000163012 or ENSG00000163162 or ENSG00000163481 or ENSG00000163743 or ENSG00000164068 or ENSG00000164197 or ENSG00000165338 or ENSG00000165406 or ENSG00000166349 or ENSG00000168159 or ENSG00000168411 or ENSG00000170035 or ENSG00000170881 or ENSG00000172985 or ENSG00000173838 or ENSG00000173926 or ENSG00000175063 or ENSG00000175809 or ENSG00000175931 or ENSG00000176641 or ENSG00000177414 or ENSG00000177889 or ENSG00000179455 or ENSG00000180233 or ENSG00000180537 or ENSG00000181191 or ENSG00000181788 or ENSG00000181852 or ENSG00000182179 or ENSG00000182247 or ENSG00000182670 or ENSG00000183574 or ENSG00000183654 or ENSG00000184182 or ENSG00000184787 or ENSG00000185345 or ENSG00000186187 or ENSG00000186591 or ENSG00000187566 or ENSG00000188050 or ENSG00000196470 or ENSG00000197323 or ENSG00000197530 or ENSG00000197579 or ENSG00000198060 or ENSG00000198373 or ENSG00000198742 or ENSG00000198919 or ENSG00000198961 or ENSG00000204227 or ENSG00000204308 or ENSG00000206287 or ENSG00000214357 or ENSG00000215218 or ENSG00000223767 or ENSG00000225452 or ENSG00000226788 or ENSG00000227277 or ENSG00000228405 or ENSG00000228520 or ENSG00000228907 or ENSG00000231115 or ENSG00000235107 or ENSG00000239305 or ENSG00000265491 or ENSG00000276043 or ENSG00000276380 or ENSG00000276802 or ENSG00000277278 or ENSG00000278545 or ENSG00000278787 or ENSG00000284126 or ENSG00000285152 or ENSG00000285426
HMR_9492	ENSG00000004478 or ENSG00000077800 or ENSG00000079150 or ENSG00000084072 or ENSG00000088832 or ENSG00000096060 or ENSG00000100023 or ENSG00000100442 or ENSG00000102309 or ENSG00000105701 or ENSG00000106080 or ENSG00000108179 or ENSG00000113593 or ENSG00000114857 or ENSG00000119782 or ENSG00000122642 or ENSG00000127445 or ENSG00000131013 or ENSG00000134285 or ENSG00000137168 or ENSG00000138398 or ENSG00000141756 or ENSG00000153015 or ENSG00000166794 or ENSG00000168938 or ENSG00000171497 or ENSG00000171960 or ENSG00000173486 or ENSG00000185250 or ENSG00000196262 or ENSG00000236334 or ENSG00000240344 or ENSG00000263353 or ENSG00000263464 or ENSG00000271567	(ENSG00000084072 and ENSG00000113593 and ENSG00000137168 and ENSG00000240344) or ENSG00000153015 or ENSG00000100023 or ENSG00000171960 or ENSG00000004478 or ENSG00000077800 or ENSG00000079150 or ENSG00000088832 or ENSG00000096060 or ENSG00000100442 or ENSG00000102309 or ENSG00000105701 or ENSG00000106080 or ENSG00000108179 or ENSG00000114857 or ENSG00000119782 or ENSG00000122642 or ENSG00000127445 or ENSG00000131013 or ENSG00000134285 or ENSG00000138398 or ENSG00000141756 or ENSG00000166794 or ENSG00000168938 or ENSG00000171497 or ENSG00000173486 or ENSG00000185250 or ENSG00000196262 or ENSG00000236334 or ENSG00000263353 or ENSG00000263464 or ENSG00000271567
HMR_9495	ENSG00000005339 or ENSG00000083168 or ENSG00000084676 or ENSG00000100393 or ENSG00000103510 or ENSG00000108773 or ENSG00000114166 or ENSG00000124151 or ENSG00000125484 or ENSG00000128708 or ENSG00000129873 or ENSG00000134014 or ENSG00000134852 or ENSG00000136504 or ENSG00000156650 or ENSG00000172288 or ENSG00000172352 or ENSG00000172977 or ENSG00000182415 or ENSG00000198408 or ENSG00000281813	ENSG00000100393 or ENSG00000114166 or ENSG00000084676 or ENSG00000100393 or ENSG00000083168 or ENSG00000136504 or ENSG00000156650 or (ENSG00000005339 and ENSG00000124151) or ENSG00000005339 or ENSG00000114166 or ENSG00000005339 or ENSG00000100393 or ENSG00000005339 or ENSG00000100393 or ENSG00000114166 or ENSG00000124151 or ENSG00000005339 or ENSG00000084676 or ENSG00000005339 or ENSG00000084676 or ENSG00000100393 or ENSG00000103510 or ENSG00000108773 or ENSG00000114166 or ENSG00000124151 or ENSG00000125484 or ENSG00000128708 or ENSG00000129873 or ENSG00000134014 or ENSG00000134852 or ENSG00000136504 or ENSG00000172288 or ENSG00000172352 or ENSG00000172977 or ENSG00000182415 or ENSG00000198408 or ENSG00000281813
