rxns	newEqn
DEDOLP2_L	dehydrodolichol-phosphate[c] + H2O[c] => dehydrodolichol[c] + Pi[c]
DEDOLP2_U	H2O[c] + Dehydrodolichol Phosphate, Human Uterine Homolog[c] => Pi[c] + Dehydrodolichol, Human Uterine Homolog[c]
DEDOLR_L	dehydrodolichol[c] + H+[c] + NADPH[c] => dolichol[c] + NADP+[c]
DEDOLR_U	H+[c] + NADPH[c] + Dehydrodolichol, Human Uterine Homolog[c] => NADP+[c] + Dolichol, Human Uterine Homolog[c]
DOLASNT_Ler	(Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1[r] + [protein]-L-asparagine[r] => (alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r] + dolichyl-diphosphate[r] + H+[r]
DOLASNT_Uer	[protein]-L-asparagine[r] + (Alpha-D-Glucosyl)3-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => (alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein)[r] + H+[r] + Dolichol Diphosphate, Human Uterine Homolog[r]
DOLDPP_Uer	H2O[r] + Dolichol Diphosphate, Human Uterine Homolog[r] => H+[r] + Pi[r] + Dolichyl Phosphate[r]
DOLGLCP_Lter	dolichyl-D-glucosyl-phosphate[c] => dolichyl-D-glucosyl-phosphate[r]
DOLGLCP_Uter	Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog[c] => Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog[r]
DOLGPP_Ler	dolichyl-D-glucosyl-phosphate[r] + H2O[r] => dolichyl-phosphate[r] + glucose[r] + H+[r]
DOLGPP_Uer	H2O[r] + Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog[r] => glucose[r] + H+[r] + Dolichyl Phosphate[r]
DOLICHOL_Lter	dolichol[r] => dolichol[c]
DOLICHOL_Uter	Dolichol, Human Uterine Homolog[r] <=> Dolichol, Human Uterine Homolog[c]
DOLK_L	CTP[c] + dolichol[c] => CDP[c] + dolichyl-phosphate[c] + H+[c]
DOLK_U	CTP[c] + Dolichol, Human Uterine Homolog[c] => CDP[c] + H+[c] + Dolichyl Phosphate[c]
DOLMANP_Lter	dolichyl-phosphate-D-mannose[c] => dolichyl-phosphate-D-mannose[r]
DOLMANP_Uter	Dolichyl Phosphate D-Mannose, Human Uterine Homolog[c] => Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r]
DOLP_Lter	dolichyl-D-glucosyl-phosphate[r] + (Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r] => dolichyl-phosphate[r] + G10598[r] + H+[r]
DOLP_Uter	Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog[r] + (Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => H+[r] + Dolichyl Phosphate[r] + Alpha-D-Glucosyl-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r]
DOLPGT1_Ler	dolichyl-D-glucosyl-phosphate[r] + G10598[r] => dolichyl-phosphate[r] + G10599[r] + H+[r]
DOLPGT1_Uer	Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog[r] + Alpha-D-Glucosyl-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => H+[r] + Dolichyl Phosphate[r] + (Alpha-D-Glucosyl)2-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r]
DOLPGT2_Ler	dolichyl-D-glucosyl-phosphate[r] + G10599[r] => (Glc)3 (GlcNAc)2 (Man)9 (PP-Dol)1[r] + dolichyl-phosphate[r] + H+[r]
DOLPGT2_Uer	Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog[r] + (Alpha-D-Glucosyl)2-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => H+[r] + Dolichyl Phosphate[r] + (Alpha-D-Glucosyl)3-(Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r]
DOLPGT3_Uer	H2O[r] + Dolichyl Phosphate[r] => Pi[r] + Dolichol, Human Uterine Homolog[r]
DOLPH_Ler	dolichyl-phosphate-D-mannose[r] + G00006[r] => dolichyl-phosphate[r] + H+[r] + (Alpha-D-Mannosyl)5-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r]
DOLPH_Uer	Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] + (Alpha-D-Mannosyl)4-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => H+[r] + Dolichyl Phosphate[r] + (Alpha-D-Mannosyl)5-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r]
DOLPMT_L	dolichyl-phosphate-D-mannose[r] + (Alpha-D-Mannosyl)5-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r] => dolichyl-phosphate[r] + H+[r] + (Alpha-D-Mannosyl)6-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r]
DOLPMT_U	Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] + (Alpha-D-Mannosyl)5-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => H+[r] + Dolichyl Phosphate[r] + (Alpha-D-Mannosyl)6-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r]
DOLPMT1_Ler	dolichyl-phosphate-D-mannose[r] + (Alpha-D-Mannosyl)6-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r] => dolichyl-phosphate[r] + H+[r] + (Alpha-D-Mannosyl)7-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r]
DOLPMT1_Uer	Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] + (Alpha-D-Mannosyl)6-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => H+[r] + Dolichyl Phosphate[r] + (Alpha-D-Mannosyl)7-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r]
DOLPMT2_Ler	dolichyl-phosphate-D-mannose[r] + (Alpha-D-Mannosyl)7-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r] => dolichyl-phosphate[r] + H+[r] + (Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[r]
DOLPMT2_Uer	Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] + (Alpha-D-Mannosyl)7-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r] => H+[r] + Dolichyl Phosphate[r] + (Alpha-D-Mannosyl)8-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[r]
DOLPMT3_Ler	dolichyl-phosphate[c] + GDP-mannose[c] => dolichyl-phosphate-D-mannose[c] + GDP[c]
DOLPMT4_Ler	dolichyl-phosphate[r] => dolichyl-phosphate[c]
DOLPMT4_Uer	Dolichyl Phosphate[r] => Dolichyl Phosphate[c]
G12MT1_L	GDP-mannose[c] + (Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[c] => GDP[c] + H+[c] + (Alpha-D-Mannosyl)3-Beta-D-Mannosyl-Diacetylchitodiphosphodolichol, Human Liver Homolog[c]
G12MT1_U	GDP-mannose[c] + (Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[c] => GDP[c] + H+[c] + (Alpha-D-Mannosyl)3-Beta-D-Mannosyl-Diacetylchitodiphosphodolichol, Human Uterine Homolog[c]
G12MT2_L	GDP-mannose[c] + (Alpha-D-Mannosyl)3-Beta-D-Mannosyl-Diacetylchitodiphosphodolichol, Human Liver Homolog[c] => G00006[c] + GDP[c] + H+[c]
G12MT2_U	GDP-mannose[c] + (Alpha-D-Mannosyl)3-Beta-D-Mannosyl-Diacetylchitodiphosphodolichol, Human Uterine Homolog[c] => GDP[c] + H+[c] + (Alpha-D-Mannosyl)4-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[c]
G13MT_L	beta-D-mannosyldiacetylchitobiosyldiphosphodolichol[c] + GDP-mannose[c] => alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol[c] + GDP[c] + H+[c]
G13MT_U	GDP-mannose[c] + Beta-D-Mannosyldiacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[c] => GDP[c] + H+[c] + Alpha-D-Mannosyl-Beta-D-Mannosyl-Diacylchitobiosyldiphosphodolichol, Human Uterine Homolog[c]
G16MT_L	alpha-D-mannosyl-beta-D-mannosyl-diacetylchitobiosyldiphosphodolichol[c] + GDP-mannose[c] => GDP[c] + H+[c] + (Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Liver Homolog[c]
G16MT_U	GDP-mannose[c] + Alpha-D-Mannosyl-Beta-D-Mannosyl-Diacylchitobiosyldiphosphodolichol, Human Uterine Homolog[c] => GDP[c] + H+[c] + (Alpha-D-Mannosyl)2-Beta-D-Mannosyl-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[c]
GGT_U	16 isopentenyl-pPP[c] + Trans,Trans,Cis-Geranylgeranyl Diphosphate[c] => 16 PPi[c] + Dehydrodolichol Diphosphate, Human Uterine Homolog[c]
GLCNACPT_L	dolichyl-phosphate[c] + UDP-N-acetylglucosamine[c] => N-acetyl-D-glucosaminyldiphosphodolichol[c] + UMP[c]
GLCNACPT_U	UDP-N-acetylglucosamine[c] + Dolichyl Phosphate[c] => UMP[c] + N-Acetyl-D-Glucosaminyldiphosphodolichol, Human Uterine Homolog[c]
GLCNACT_L	N-acetyl-D-glucosaminyldiphosphodolichol[c] + UDP-N-acetylglucosamine[c] => H+[c] + N,N-chitobiosyldiphosphodolichol[c] + UDP[c]
GLCNACT_U	UDP-N-acetylglucosamine[c] + N-Acetyl-D-Glucosaminyldiphosphodolichol, Human Uterine Homolog[c] => H+[c] + UDP[c] + N,N-Diacetylchitobiosyldiphosphodolichol, Human Uterine Homolog[c]
GPIMTer_U	glucosaminyl-acylphosphatidylinositol[r] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] => H+[r] + mgacpail heparan sulfate[r] + Dolichyl Phosphate[r]
H2MTer_U	mgacpail heparan sulfate[r] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] => H+[r] + m2gacpail heparan sulfate[r] + Dolichyl Phosphate[r]
H3MTer_U	m2gacpail heparan sulfate[r] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] => H+[r] + m3gacpail heparan sulfate[r] + Dolichyl Phosphate[r]
H5MTer_U	emgacpail heparan sulfate[r] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] => H+[r] + memgacpail heparan sulfate[r] + Dolichyl Phosphate[r]
H6MTer_U	m2emgacpail heparan sulfate[r] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] => H+[r] + m3emgacpail heparan sulfate[r] + Dolichyl Phosphate[r]
H7MTer_U	em2emgacpail heparan sulfate[r] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[r] => H+[r] + mem2emgacpail heparan sulfate[r] + Dolichyl Phosphate[r]
UDPDOLPT_U	UDP-glucose[c] + Dolichyl Phosphate[c] => UDP[c] + Dolichyl Beta-D-Glucosyl Phosphate, Human Uterine Homolog[c]
DOLDPP_Ler	dolichyl-diphosphate[r] + H2O[r] => dolichyl-phosphate[r] + H+[r] + Pi[r]
DOLPGT3_Ler	dolichyl-phosphate[r] + H2O[r] => dolichol[r] + Pi[r]
DOLPMT3_Uer	GDP-mannose[c] + Dolichyl Phosphate[c] => GDP[c] + Dolichyl Phosphate D-Mannose, Human Uterine Homolog[c]
GPIMTer_L	dolichyl-phosphate-D-mannose[r] + glucosaminyl-acylphosphatidylinositol[r] => dolichyl-phosphate[r] + H+[r] + mgacpail heparan sulfate[r]
HMR_4498	[ACP][c] + H2O[c] => apo-[ACP][c] + phosphopantetheine[c] + H+[c]
HMR_4499	mitoApo-[ACP][m] + phosphopantetheine[m] + H+[m] => H2O[m] + mitoACP[m]
HMR_9520	SAH[c] + tRNA containing N7-methylguanine[c] <=> SAM[c] + tRNA-guanine[c]
HMR_7180	Tn-antigen[g] + UDP-N-acetylglucosamine[g] => G00031[g] + UDP[g] + H+[g]
HMR_7181	G00031[g] + UDP-galactose[g] => G00032[g] + UDP[g] + H+[g]
HMR_0865	lc4Cer[c] + UDP-galactose[c] => G00038[c] + UDP[c] + H+[c]
HMR_0866	G00038[c] + GDP-L-fucose[c] => GDP[c] + type I B glycolipid[c] + H+[c]
HMR_0871	GDP-L-fucose[c] + IV2Fuc-Lc4Cer[c] => GDP[c] + IV2Fuc,III4Fuc-Lc4Cer[c] + H+[c]
HMR_0880	GDP-L-fucose[c] + nLc5Cer(G00051)[c] => GDP[c] + type II B antigen[c] + H+[c]
HMR_0881	IV2Fuc-nLc4Cer[c] + UDP-galactose[c] => type II B antigen[c] + UDP[c] + H+[c]
HMR_0882	GDP-L-fucose[c] + IV2Fuc-nLc4Cer[c] => GDP[c] + III3,IV2Fuc-nLc4Cer[c] + H+[c]
HMR_0883	GDP-L-fucose[c] + paragloboside[c] => GDP[c] + IV2Fuc-nLc4Cer[c] + H+[c]
HMR_0884	IV2Fuc-nLc4Cer[c] + UDP-N-acetyl-D-galactosamine[c] => type II A antigen[c] + UDP[c] + H+[c]
HMR_0885	type II A antigen[c] + UDP-galactose[c] => G00057[c] + UDP[c] + H+[c]
HMR_0886	G00057[c] + GDP-L-fucose[c] => GDP[c] + type III H glycolipid[c] + H+[c]
HMR_0888	GDP-L-fucose[c] + paragloboside[c] => GDP[c] + III3Fuc-nLc4Cer[c] + H+[c]
HMR_0893	GDP-L-fucose[c] + nLc8Cer[c] => G00084[c] + GDP[c] + H+[c]
HMR_0894	G00084[c] + GDP-L-fucose[c] => G00085[c] + GDP[c] + H+[c]
HMR_0895	G00085[c] + GDP-L-fucose[c] => G00086[c] + GDP[c] + H+[c]
HMR_0899	GDP-L-fucose[c] + VI2Fuc-nLc6[c] => G00081[c] + GDP[c] + H+[c]
HMR_0900	G00081[c] + GDP-L-fucose[c] => G00082[c] + GDP[c] + H+[c]
HMR_0902	UDP-N-acetyl-D-galactosamine[c] + VI2Fuc-nLc6[c] => G00072[c] + UDP[c] + H+[c]
HMR_0903	G00072[c] + UDP-galactose[c] => G00073[c] + UDP[c] + H+[c]
HMR_0904	G00073[c] + GDP-L-fucose[c] => G00074[c] + GDP[c] + H+[c]
HMR_0905	G00074[c] + UDP-N-acetyl-D-galactosamine[c] => type IIIAb[c] + UDP[c] + H+[c]
HMR_0907	G00077[c] + UDP-galactose[c] => iso-nLc8Cer[c] + UDP[c] + H+[c]
HMR_0908	GDP-L-fucose[c] + iso-nLc8Cer[c] => GDP[c] + monofucosyllactoisooctaosylceramide[c] + H+[c]
HMR_0909	GDP-L-fucose[c] + monofucosyllactoisooctaosylceramide[c] => G00079[c] + GDP[c] + H+[c]
HMR_8285	acgalfuc12gal14acglcgalgluside heparan sulfate[g] + UDP-galactose[g] => galacgalfuc12gal14acglcgalgluside heparan sulfate[g] + UDP[g] + H+[g]
HMR_8286	galacgalfuc12gal14acglcgalgluside heparan sulfate[g] + GDP-L-fucose[g] => GDP[g] + type III H glycolipid[g] + H+[g]
HMR_8292	UDP-N-acetyl-D-galactosamine[g] + VI2Fuc-nLc6[g] => acgalfucgalacglcgal14acglcgalgluside heparan sulfate[g] + UDP[g] + H+[g]
HMR_8293	acgalfucgalacglcgal14acglcgalgluside heparan sulfate[g] + UDP-galactose[g] => galacgalfucgalacglcgal14acglcgalgluside heparan sulfate[g] + UDP[g] + H+[g]
HMR_8294	galacgalfucgalacglcgal14acglcgalgluside heparan sulfate[g] + GDP-L-fucose[g] => fucgalacgalfucgalacglcgal14acglcgalgluside heparan sulfate[g] + GDP[g] + H+[g]
HMR_8295	fucgalacgalfucgalacglcgal14acglcgalgluside heparan sulfate[g] + UDP-N-acetyl-D-galactosamine[g] => type IIIAb[g] + UDP[g] + H+[g]
HMR_8307	GDP-L-fucose[g] + nLc8Cer[g] => fucgalacglc13galacglcgal14acglcgalgluside heparan sulfate[g] + GDP[g] + H+[g]
HMR_8308	fucgalacglc13galacglcgal14acglcgalgluside heparan sulfate[g] + GDP-L-fucose[g] => fucfucgalacglc13galacglcgal14acglcgalgluside heparan sulfate[g] + GDP[g] + H+[g]
HMR_8317	G00077[g] + UDP-galactose[g] => iso-nLc8Cer[c] + UDP[g] + H+[c]
HMR_8318	CMP-N-acetylneuraminate[g] + lc4Cer[g] => acngalacglcgalgluside heparan sulfate[g] + CMP[g] + H+[g]
HMR_8319	acngalacglcgalgluside heparan sulfate[g] + GDP-L-fucose[g] => GDP[g] + H+[g] + IV3Neu5Ac,III4Fuc-Lc4Cer[g]
HMR_8330	GDP-L-fucose[g] + VI2Fuc-nLc6[g] => fucfucgalacglcgal14acglcgalgluside heparan sulfate[g] + GDP[g] + H+[g]
HMR_8331	fucfucgalacglcgal14acglcgalgluside heparan sulfate[g] + GDP-L-fucose[g] => fucfucfucgalacglcgal14acglcgalgluside heparan sulfate[g] + GDP[g] + H+[g]
FUT32g	acngalacglcgalgluside heparan sulfate[g] + GDP-L-fucose[g] => GDP[g] + H+[g] + IV3Neu5Ac,III4Fuc-Lc4Cer[g]
HMR_5381	PAPS[c] + thioredoxin[c] => oxidized thioredoxin[c] + PAP[c] + sulfite[c] + 2 H+[c]
HMR_5167	315 ATP[c] + 5 glycyl-tRNA(gly)[c] + 316 H2O[c] + 8 L-alanyl-tRNA(ala)[c] + 3 L-asparaginyl-tRNA(asn)[c] + 7 L-aspartyl-tRNA(asp)[c] + 5 L-cysteinyl-tRNA(cys)[c] + 5 L-glutaminyl-tRNA(gln)[c] + 10 L-glutamyl-tRNA(glu)[c] + L-histidyl-tRNA(his)[c] + 4 L-isoleucyl-tRNA(ile)[c] + 6 L-leucyl-tRNA(leu)[c] + 12 L-lysyl-tRNA(lys)[c] + 3 L-methionyl-tRNA(met)[c] + 9 L-phenylalanyl-tRNA(phe)[c] + 3 L-prolyl-tRNA(pro)[c] + 7 L-seryl-tRNA(ser)[c] + 4 L-threonyl-tRNA(thr)[c] + L-tryptophanyl-tRNA(trp)[c] + L-tyrosyl-tRNA(tyr)[c] + 11 L-valyl-tRNA(val)[c] => 315 ADP[c] + 315 Pi[c] + thioredoxin[c] + 8 tRNA(ala)[c] + 3 tRNA(asn)[c] + 7 tRNA(asp)[c] + 5 tRNA(cys)[c] + 5 tRNA(gln)[c] + 10 tRNA(glu)[c] + 5 tRNA(gly)[c] + tRNA(his)[c] + 4 tRNA(ile)[c] + 6 tRNA(leu)[c] + 12 tRNA(lys)[c] + 3 tRNA(met)[c] + 9 tRNA(phe)[c] + 3 tRNA(pro)[c] + 7 tRNA(ser)[c] + 4 tRNA(thr)[c] + tRNA(trp)[c] + tRNA(tyr)[c] + 11 tRNA(val)[c] + 415 H+[c]
HMR_5168	498 ATP[c] + 10 glycyl-tRNA(gly)[c] + 499 H2O[c] + 11 L-alanyl-tRNA(ala)[c] + 9 L-arginyl-tRNA(arg)[c] + 4 L-asparaginyl-tRNA(asn)[c] + 12 L-aspartyl-tRNA(asp)[c] + 3 L-cysteinyl-tRNA(cys)[c] + 10 L-glutaminyl-tRNA(gln)[c] + 6 L-glutamyl-tRNA(glu)[c] + 3 L-histidyl-tRNA(his)[c] + 9 L-isoleucyl-tRNA(ile)[c] + 15 L-leucyl-tRNA(leu)[c] + 11 L-lysyl-tRNA(lys)[c] + 4 L-methionyl-tRNA(met)[c] + 6 L-phenylalanyl-tRNA(phe)[c] + 12 L-prolyl-tRNA(pro)[c] + 8 L-seryl-tRNA(ser)[c] + 12 L-threonyl-tRNA(thr)[c] + 2 L-tryptophanyl-tRNA(trp)[c] + 2 L-tyrosyl-tRNA(tyr)[c] + 17 L-valyl-tRNA(val)[c] => 498 ADP[c] + mitothioredoxin[c] + 498 Pi[c] + 11 tRNA(ala)[c] + 9 tRNA(arg)[c] + 4 tRNA(asn)[c] + 12 tRNA(asp)[c] + 3 tRNA(cys)[c] + 10 tRNA(gln)[c] + 6 tRNA(glu)[c] + 10 tRNA(gly)[c] + 3 tRNA(his)[c] + 9 tRNA(ile)[c] + 15 tRNA(leu)[c] + 11 tRNA(lys)[c] + 4 tRNA(met)[c] + 6 tRNA(phe)[c] + 12 tRNA(pro)[c] + 8 tRNA(ser)[c] + 12 tRNA(thr)[c] + 2 tRNA(trp)[c] + 2 tRNA(tyr)[c] + 17 tRNA(val)[c] + 666 H+[c]
HMR_9817	104 ATP[c] + 208 H2O[c] + thioredoxin[c] => 104 ADP[c] + 8 alanine[c] + 3 asparagine[c] + 7 aspartate[c] + 5 cysteine[c] + 10 glutamate[c] + 5 glutamine[c] + 5 glycine[c] + histidine[c] + 4 isoleucine[c] + 6 leucine[c] + 12 lysine[c] + 3 methionine[c] + 9 phenylalanine[c] + 104 Pi[c] + 3 proline[c] + 7 serine[c] + 4 threonine[c] + tryptophan[c] + tyrosine[c] + 11 valine[c] + 109 H+[c]
HMR_9818	165 ATP[c] + 330 H2O[c] + mitothioredoxin[c] => 165 ADP[c] + 11 alanine[c] + 9 arginine[c] + 4 asparagine[c] + 12 aspartate[c] + 3 cysteine[c] + 6 glutamate[c] + 10 glutamine[c] + 10 glycine[c] + 3 histidine[c] + 9 isoleucine[c] + 15 leucine[c] + 11 lysine[c] + 4 methionine[c] + 6 phenylalanine[c] + 165 Pi[c] + 12 proline[c] + 8 serine[c] + 12 threonine[c] + 2 tryptophan[c] + 2 tyrosine[c] + 17 valine[c] + 163 H+[c]
r1431	dADP[m] + H2O[m] + oxidized thioredoxin[m] => ADP[m] + thioredoxin[m]
r1432	dGDP[m] + H2O[m] + oxidized thioredoxin[m] => GDP[m] + thioredoxin[m]
r1433	NADP+[m] + thioredoxin[m] => H+[m] + oxidized thioredoxin[m] + NADPH[m]
RE0456M	thioredoxin[m] + UTP[m] <=> dUTP[m] + H2O[m] + oxidized thioredoxin[m]
HMR_5395	glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 UDP[c] + 8 H+[c]
HMR_5396	glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 UDP[c] + 3 H+[c]
