mets	metsNoComp	metBiGGID	metKEGGID	metHMDBID	metChEBIID	metPubChemID	metLipidMapsID	metEHMNID	metHepatoNET1ID	metRecon3DID	metMetaNetXID	metHMR2ID	metRetired
"MAM01917s"	"MAM01917"	"galgalgalthcrm_hs"	""	""	""	""	""	""	""	"galgalgalthcrm_hs"	"MNXM8628"	"m01917s"	"m01917s"
"MAM01919s"	"MAM01919"	"galacglcgalgbside_hs"	""	""	""	""	""	""	""	"galacglcgalgbside_hs"	"MNXM8629"	"m01919s"	"m01919s"
"MAM01925s"	"MAM01925"	""	"C06114"	""	""	""	""	""	"HC01700"	"HC01700"	"MNXM8633"	"m01925s"	"m01925s"
"MAM01926s"	"MAM01926"	""	"C05711"	"HMDB60478"	"CHEBI:10565"	"53297342"	""	""	"HC01577"	"HC01577"	"MNXM11629"	"m01926s"	"m01926s"
"MAM01932s"	"MAM01932"	"lnlncg"	"C06426"	"HMDB03073"	"CHEBI:28661"	"5280933"	"LMFA01030141"	""	"HC01757"	"lnlncg"	"MNXM162504;MNXM3995"	"m01932s"	"m01932s"
"MAM01934p"	"MAM01934"	"lnlncgcoa"	"C03035"	"HMDB06368"	"CHEBI:15508"	"11966132"	"LMFA07050038"	""	"HC01985"	"lnlncgcoa"	"MNXM162293;MNXM837"	"m01934p"	"m01934p"
"MAM01935s"	"MAM01935"	"gtocophe"	""	""	""	"92729"	""	"CE1924"	""	"yvite"	"MNXM2522"	"m01935s"	"m01935s"
"MAM01938s"	"MAM01938"	""	""	""	""	""	""	"CE1928"	""	"M01938"	"MNXM54335"	"m01938s"	"m01938s"
"MAM01944s"	"MAM01944"	"gd1b2_hs"	""	""	""	""	""	""	""	"gd1b2_hs"	"MNXM8638"	"m01944s"	"m01944s"
"MAM01945s"	"MAM01945"	"gd1c_hs"	"G00126"	""	""	""	""	""	""	"gd1c_hs"	"MNXM8639"	"m01945s"	"m01945s"
"MAM01948s"	"MAM01948"	"gdp"	"C00035"	"HMDB01201"	"CHEBI:17552"	"8977"	""	""	"HC00043"	"gdp"	"MNXM30"	"m01948s"	"m01948s"
"MAM01955s"	"MAM01955"	"gncore2"	""	""	""	""	""	""	""	"gncore2"	"MNXM18092"	"m01955s"	"m01955s"
"MAM01959s"	"MAM01959"	"gbside_hs"	"C03272"	""	"CHEBI:18259"	""	""	""	""	"gbside_hs"	"MNXM4598"	"m01959s"	"m01959s"
"MAM01962s"	"MAM01962"	"gam"	"C00329"	"HMDB01514"	"CHEBI:5417"	"439213"	""	""	"HC00279"	"gam"	"MNXM533"	"m01962s"	"m01962s"
"MAM01965s"	"MAM01965"	"glc__D"	"C00031"	"HMDB00122"	"CHEBI:4167"	"5793"	""	""	"HC00040"	"glc_D"	"MNXM41;MNXM99"	"m01965s"	"m01965s"
"MAM01966s"	"MAM01966"	""	"C01231"	""	"CHEBI:18148"	""	""	""	""	"M01966"	"MNXM1723;MNXM7242"	"m01966s"	"m01966s"
"MAM01972s"	"MAM01972"	"gluside_hs"	"C01190"	""	"CHEBI:18368"	""	""	""	"HC02008"	"gluside_hs"	"MNXM5169"	"m01972s"	"m01972s"
"MAM01974s"	"MAM01974"	"glu__L"	"C00025"	"HMDB00148"	"CHEBI:16015"	"33032"	""	""	"HC00034"	"glu_L"	"MNXM89557"	"m01974s"	"m01974s"
"MAM01975s"	"MAM01975"	"gln__L"	"C00064"	"HMDB00641"	"CHEBI:18050"	"5961"	""	""	"HC00067"	"gln_L"	"MNXM37"	"m01975s"	"m01975s"
"MAM01980s"	"MAM01980"	""	""	""	""	""	""	""	"HC02199"	"HC02199"	"MNXM162246"	"m01980s"	"m01980s"
"MAM01982s"	"MAM01982"	"glyc__R"	"C00258"	"HMDB00139"	"CHEBI:32398"	"439194"	""	""	"HC00235"	"glyc_R"	"MNXM189"	"m01982s"	"m01982s"
"MAM01983s"	"MAM01983"	"glyc"	"C00116"	"HMDB00131"	"CHEBI:17522"	"753"	""	""	"HC00114"	"glyc"	"MNXM89612"	"m01983s"	"m01983s"
"MAM01984s"	"MAM01984"	"dha"	"C00184"	""	"CHEBI:16016"	"670"	""	""	"HC00175"	"dha"	"MNXM460"	"m01984s"	"m01984s"
"MAM01986p"	"MAM01986"	"gly"	"C00037"	"HMDB00123"	"CHEBI:15428"	"750"	""	""	"HC00045"	"gly"	"MNXM29"	"m01986p"	"m01986p"
"MAM01986s"	"MAM01986"	"gly"	"C00037"	"HMDB00123"	"CHEBI:15428"	"750"	""	""	"HC00045"	"gly"	"MNXM29"	"m01986s"	"m01986s"
"MAM01987s"	"MAM01987"	"dgchol"	"C05466"	"HMDB00637"	"CHEBI:36274"	"22833540"	""	""	"HC01472"	"dgchol"	"MNXM8391"	"m01987s"	"m01987s"
"MAM01988s"	"MAM01988"	"gchola"	"C01921"	"HMDB00138"	"CHEBI:29746"	"23617285"	"LMST05030001"	""	"HC00863"	"gchola"	"MNXM162346"	"m01988s"	"m01988s"
"MAM01989s"	"MAM01989"	""	"C05464"	""	"CHEBI:27471"	""	"LMST05030006"	""	""	"M01989"	"MNXM8677"	"m01989s"	"m01989s"
"MAM01998p"	"MAM01998"	"glyclt"	"C00160"	"HMDB00115"	"CHEBI:17497"	"757"	""	""	""	"glyclt"	"MNXM222"	"m01998p"	"m01998p"
"MAM01999s"	"MAM01999"	""	""	""	""	""	""	""	""	"fuc14galacglcgalgluside_hs"	"MNXM8835"	"m01999s"	"m01999s"
"MAM02000p"	"MAM02000"	""	"C15557"	""	"CHEBI:37998"	"115245"	""	"CE5560"	"HC02193"	"HC02193"	"MNXM4602"	"m02000p"	"m02000p"
"MAM02000s"	"MAM02000"	""	"C15557"	""	"CHEBI:37998"	"115245"	""	"CE5560"	"HC02193"	"HC02193"	"MNXM4602"	"m02000s"	"m02000s"
"MAM02001s"	"MAM02001"	"pre_prot"	""	""	""	""	""	""	""	"pre_prot"	"MNXM7401"	"m02001s"	"m02001s"
"MAM02004s"	"MAM02004"	""	""	"HMDB00708"	""	""	""	""	"HC02196"	"HC02196"	"MNXM162410"	"m02004s"	"m02004s"
"MAM02007p"	"MAM02007"	"glx"	"C00048"	"HMDB00119"	"CHEBI:16891"	"760"	""	""	""	"glx"	"MNXM69"	"m02007p"	"m02007p"
"MAM02016s"	"MAM02016"	"gmp"	"C00144"	""	"CHEBI:17345"	"6804"	""	""	"HC00141"	"gmp"	"MNXM113"	"m02016s"	"m02016s"
"MAM02017p"	"MAM02017"	""	""	""	""	""	"LMGP10070003"	""	""	"M02017"	"MNXM588651"	"m02017p"	"m02017p"
"MAM02018s"	"MAM02018"	"gp1c_hs"	""	""	""	""	""	""	""	"gp1c_hs"	"MNXM8689"	"m02018s"	"m02018s"
"MAM02019s"	"MAM02019"	"gp1calpha_hs"	""	""	""	""	""	""	""	"gp1calpha_hs"	"MNXM8690"	"m02019s"	"m02019s"
"MAM02022s"	"MAM02022"	"gpi_sig"	""	""	""	""	""	""	""	"gpi_sig"	"MNXM6283"	"m02022s"	"m02022s"
"MAM02023s"	"MAM02023"	"gq1b_hs"	"C06139"	""	"CHEBI:27515"	""	""	""	""	"gq1b_hs"	"MNXM8691"	"m02023s"	"m02023s"
"MAM02024s"	"MAM02024"	"gq1balpha_hs"	"G00129"	""	""	""	""	""	""	"gq1balpha_hs"	"MNXM7405"	"m02024s"	"m02024s"
"MAM02026p"	"MAM02026"	"gthrd"	"C00051"	"HMDB00125"	"CHEBI:16856"	"124886"	""	""	"HC00056"	"gthrd"	"MNXM57"	"m02026p"	"m02026p"
"MAM02026s"	"MAM02026"	"gthrd"	"C00051"	"HMDB00125"	"CHEBI:16856"	"124886"	""	""	"HC00056"	"gthrd"	"MNXM57"	"m02026s"	"m02026s"
"MAM02027s"	"MAM02027"	"gthox"	"C00127"	"HMDB03337"	"CHEBI:17858"	"975"	""	""	"HC00125"	"gthox"	"MNXM151"	"m02027s"	"m02027s"
"MAM02028s"	"MAM02028"	"gt1a_hs"	"C06138"	""	"CHEBI:27691"	""	""	""	""	"gt1a_hs"	"MNXM8693"	"m02028s"	"m02028s"
"MAM02034s"	"MAM02034"	"gtp"	"C00044"	"HMDB01273"	"CHEBI:15996"	"6830"	""	""	"HC00051"	"gtp"	"MNXM51"	"m02034s"	"m02034s"
"MAM02035s"	"MAM02035"	""	""	""	"CHEBI:42820"	""	""	""	""	"M02035"	"MNXM2828;MNXM506775"	"m02035s"	"m02035s"
"MAM02037s"	"MAM02037"	"gua"	"C00242"	"HMDB00132"	"CHEBI:16235"	"764"	""	""	"HC00219"	"gua"	"MNXM259"	"m02037s"	"m02037s"
"MAM02038s"	"MAM02038"	"gsn"	"C00387"	"HMDB00133"	"CHEBI:16750"	"6802"	""	""	"HC00322"	"gsn"	"MNXM401"	"m02038s"	"m02038s"
"MAM02039p"	"MAM02039"	"h"	"C00080"	""	"CHEBI:24636"	"1038"	""	""	"HC00083"	"h"	"MNXM1"	"m02039p"	"m02039p"
"MAM02039s"	"MAM02039"	"h"	"C00080"	""	"CHEBI:24636"	"1038"	""	""	"HC00083"	"h"	"MNXM1"	"m02039s"	"m02039s"
"MAM02040p"	"MAM02040"	"h2o"	"C00001"	"HMDB02111"	"CHEBI:15377"	"962"	"LMST01040128"	""	"HC00011"	"h2o"	"MNXM2"	"m02040p"	"m02040p"
"MAM02040s"	"MAM02040"	"h2o"	"C00001"	"HMDB02111"	"CHEBI:15377"	"962"	"LMST01040128"	""	"HC00011"	"h2o"	"MNXM2"	"m02040s"	"m02040s"
"MAM02041p"	"MAM02041"	"h2o2"	"C00027"	"HMDB03125"	"CHEBI:16240"	"784"	""	""	"HC00036"	"h2o2"	"MNXM22"	"m02041p"	"m02041p"
"MAM02041s"	"MAM02041"	"h2o2"	"C00027"	"HMDB03125"	"CHEBI:16240"	"784"	""	""	"HC00036"	"h2o2"	"MNXM22"	"m02041s"	"m02041s"
"MAM02042s"	"MAM02042"	""	"C00283"	""	"CHEBI:16136"	"402"	""	""	"HC00250"	"HC00250"	"MNXM162964;MNXM89582"	"m02042s"	"m02042s"
"MAM02044s"	"MAM02044"	""	""	""	""	""	"PROTEIN"	""	"HC01939"	"HC01939"	""	"m02044s"	"m02044s"
"MAM02046s"	"MAM02046"	"hco3"	"C00288"	"HMDB00595"	"CHEBI:17544"	"769"	""	""	"HC00253"	"hco3"	"MNXM60"	"m02046s"	"m02046s"
"MAM02047s"	"MAM02047"	""	""	""	""	""	""	""	""	"M02047"	""	"m02047s"	"m02047s"
"MAM02048s"	"MAM02048"	""	""	""	""	""	""	""	"HC01940"	"M02048"	"MNXM56508"	"m02048s"	"m02048s"
"MAM02049s"	"MAM02049"	"pheme"	"C00032"	""	"CHEBI:17627"	""	""	""	"HC00041"	"pheme"	"MNXM249"	"m02049s"	"m02049s"
"MAM02050s"	"MAM02050"	""	"C01708"	""	"CHEBI:5656"	""	""	""	""	"M02050"	"MNXM4007"	"m02050s"	"m02050s"
"MAM02053s"	"MAM02053"	""	""	"HMDB02345"	"CHEBI:39248"	"16898"	"LMFA01010021"	""	""	"M02053"	"MNXM56059"	"m02053s"	"m02053s"
"MAM02054s"	"MAM02054"	"hspg"	""	""	""	""	""	""	""	"hspg"	"MNXM7411"	"m02054s"	"m02054s"
"MAM02096p"	"MAM02096"	""	"C04849"	""	"CHEBI:15631"	"21158465"	"LMFA03080012"	""	""	"C04849"	"MNXM4921"	"m02096p"	"m02096p"
"MAM02096s"	"MAM02096"	""	"C04849"	""	"CHEBI:15631"	"21158465"	"LMFA03080012"	""	""	"C04849"	"MNXM4921"	"m02096s"	"m02096s"
"MAM02097p"	"MAM02097"	""	""	""	""	""	"LMFA03090008"	"CE6250"	""	"CE6250"	"MNXM163405"	"m02097p"	"m02097p"
"MAM02104s"	"MAM02104"	"7dhf"	""	"HMDB06559"	""	"53477856"	""	""	""	"7dhf"	"MNXM5779"	"m02104s"	"m02104s"
"MAM02105s"	"MAM02105"	"7thf"	""	""	""	""	""	""	""	"7thf"	"MNXM5780"	"m02105s"	"m02105s"
"MAM02108s"	"MAM02108"	""	"C17714"	"HMDB00666"	"CHEBI:45571"	"8094"	"LMFA01010007"	""	""	"M02108"	"MNXM7416"	"m02108s"	"m02108s"
"MAM02110p"	"MAM02110"	"hexccoa"	""	""	""	"25246198"	"LMFA07050054"	""	""	"hexccoa"	"MNXM1190;MNXM1479"	"m02110p"	"m02110p"
"MAM02112p"	"MAM02112"	""	""	""	""	""	""	""	""	"M02112"	"MNXM146663"	"m02112p"	"m02112p"
"MAM02114p"	"MAM02114"	""	""	""	""	""	"LMFA05000061"	""	""	"M02114"	"MNXM725"	"m02114p"	"m02114p"
"MAM02118s"	"MAM02118"	"6dhf"	""	""	""	"169691"	""	""	""	"6dhf"	"MNXM3615"	"m02118s"	"m02118s"
"MAM02119s"	"MAM02119"	"6thf"	""	""	""	"169691"	""	""	""	"6thf"	"MNXM3616"	"m02119s"	"m02119s"
"MAM02120s"	"MAM02120"	""	"C01585"	"HMDB00535"	"CHEBI:17120;CHEBI:30776"	""	"LMFA01010006"	""	""	"caproic"	"MNXM1653"	"m02120s"	"m02120s"
"MAM02122p"	"MAM02122"	""	"C05270"	"HMDB02845"	"CHEBI:27540"	"440611"	"LMFA07050001"	""	"HC01409"	"hxcoa"	"MNXM162502;MNXM553"	"m02122p"	"m02122p"
"MAM02124s"	"MAM02124"	"hista"	"C00388"	"HMDB00870"	"CHEBI:18295"	"774"	""	""	"HC00323"	"hista"	"MNXM635"	"m02124s"	"m02124s"
"MAM02125s"	"MAM02125"	"his__L"	"C00135"	"HMDB00177"	"CHEBI:15971"	"6274"	""	""	"HC00133"	"his_L"	"MNXM134"	"m02125s"	"m02125s"
"MAM02131p"	"MAM02131"	"hmgcoa"	"C00356"	""	"CHEBI:15467"	"439218"	""	""	"HC00302"	"hmgcoa"	"MNXM197;MNXM36493"	"m02131p"	"m02131p"
"MAM02136s"	"MAM02136"	"hom__L"	"C00263"	"HMDB00719"	"CHEBI:15699"	"12647"	""	""	"HC00239"	"hom_L"	"MNXM353"	"m02136s"	"m02136s"
"MAM02137s"	"MAM02137"	"homoval"	"C05582"	"HMDB00118"	"CHEBI:545959"	"1738"	""	""	"HC01519"	"homoval"	"MNXM162963;MNXM3287"	"m02137s"	"m02137s"
"MAM02139s"	"MAM02139"	"ha_pre1"	"C04794"	""	"CHEBI:16126"	"440484"	""	""	""	"ha_pre1"	"MNXM7438"	"m02139s"	"m02139s"
"MAM02141s"	"MAM02141"	"ha"	"C00518"	""	"CHEBI:16336"	"24759"	""	""	""	"ha"	"MNXM18575"	"m02141s"	"m02141s"
"MAM02145s"	"MAM02145"	"cyan"	"C01326"	""	"CHEBI:18407"	"768"	""	""	""	"cyan"	"MNXM254"	"m02145s"	"m02145s"
"MAM02147s"	"MAM02147"	"oh1"	"C01328"	""	"CHEBI:16234"	"961"	""	""	""	"oh1"	"MNXM2"	"m02147s"	"m02147s"
"MAM02150s"	"MAM02150"	"ebastineoh"	""	""	""	""	""	""	""	"ebastineoh"	"MNXM8725"	"m02150s"	"m02150s"
"MAM02153s"	"MAM02153"	"hnifedipine"	""	""	""	""	""	""	""	"hnifedipine"	"MNXM18597"	"m02153s"	"m02153s"
"MAM02154p"	"MAM02154"	"hpyr"	"C00168"	""	"CHEBI:30841"	"964"	""	""	"HC00163"	"hpyr"	"MNXM392"	"m02154p"	"m02154p"
"MAM02155s"	"MAM02155"	""	"C15517"	""	""	""	""	""	""	"M02155"	"MNXM4014"	"m02155s"	"m02155s"
"MAM02159p"	"MAM02159"	"hxan"	"C00262"	"HMDB00157"	"CHEBI:17368"	"790"	""	""	"HC00238"	"hxan"	"MNXM213"	"m02159p"	"m02159p"
"MAM02159s"	"MAM02159"	"hxan"	"C00262"	"HMDB00157"	"CHEBI:17368"	"790"	""	""	"HC00238"	"hxan"	"MNXM213"	"m02159s"	"m02159s"
"MAM02161s"	"MAM02161"	"idp"	"C00104"	""	"CHEBI:17808"	"6831"	""	""	"HC00104"	"idp"	"MNXM495"	"m02161s"	"m02161s"
"MAM02164s"	"MAM02164"	"fuc13galacglcgal14acglcgalgluside_hs"	"G00076"	""	""	""	""	""	""	"fuc13galacglcgal14acglcgalgluside_hs"	"MNXM8728"	"m02164s"	"m02164s"
"MAM02167s"	"MAM02167"	"imp"	"C00130"	"HMDB00175"	"CHEBI:17202"	"8582"	""	""	"HC00128"	"imp"	"MNXM125"	"m02167s"	"m02167s"
"MAM02170s"	"MAM02170"	"ins"	"C00294"	"HMDB00195"	"CHEBI:17596"	"6021"	""	""	"HC00255"	"ins"	"MNXM334"	"m02170s"	"m02170s"
"MAM02171s"	"MAM02171"	"inost"	"C00137"	"HMDB00211"	"CHEBI:17268"	"892"	""	""	"HC00135"	"inost"	"MNXM127"	"m02171s"	"m02171s"
"MAM02174s"	"MAM02174"	"i"	"C00708"	""	"CHEBI:16382"	""	""	""	""	"i"	"MNXM162756;MNXM163"	"m02174s"	"m02174s"
"MAM02182s"	"MAM02182"	"4mptnl"	"C02373"	""	"CHEBI:17998"	""	"LMFA06000109"	""	""	"4mptnl"	"MNXM162907;MNXM992"	"m02182s"	"m02182s"
"MAM02183p"	"MAM02183"	"icit"	"C00311"	"HMDB00193"	"CHEBI:30887"	"1198"	""	""	"HC00266"	"icit"	"MNXM162;MNXM89661"	"m02183p"	"m02183p"
"MAM02184s"	"MAM02184"	"ile__L"	"C00407"	"HMDB00172"	"CHEBI:17191"	"6306"	""	""	"HC00334"	"ile_L"	"MNXM231"	"m02184s"	"m02184s"
"MAM02185s"	"MAM02185"	""	"C00252"	""	"CHEBI:28189"	""	""	""	"HC00229"	"isomal"	"MNXM58018"	"m02185s"	"m02185s"
"MAM02187p"	"MAM02187"	"ipdp"	"C00129"	""	"CHEBI:16584"	"1195"	"LMPR01010008"	""	"HC00127"	"ipdp"	"MNXM83"	"m02187p"	"m02187p"
"MAM02191s"	"MAM02191"	"itacon"	"C00490"	"HMDB02092"	"CHEBI:30838"	"811"	""	""	""	"itacon"	"MNXM1747"	"m02191s"	"m02191s"
"MAM02193s"	"MAM02193"	"itp"	"C00081"	""	"CHEBI:16039"	"8583"	""	""	"HC00084"	"itp"	"MNXM423"	"m02193s"	"m02193s"
"MAM02198s"	"MAM02198"	"fucacngalacglcgalgluside_hs"	""	""	""	""	""	""	""	"fucacngalacglcgalgluside_hs"	"MNXM8779"	"m02198s"	"m02198s"
"MAM02199s"	"MAM02199"	"fucacngal14acglcgalgluside_hs"	"G00063"	""	""	""	""	""	""	"fucacngal14acglcgalgluside_hs"	"MNXM8780"	"m02199s"	"m02199s"
"MAM02200s"	"MAM02200"	"k"	"C00238"	"HMDB00586"	"CHEBI:26216"	"813"	""	""	"HC00216"	"k"	"MNXM95"	"m02200s"	"m02200s"
"MAM02237s"	"MAM02237"	"ksi_deg1"	""	""	""	""	""	""	""	"ksi_deg1"	"MNXM8784"	"m02237s"	"m02237s"
"MAM02278s"	"MAM02278"	"ksi"	""	""	""	""	""	""	""	"ksi"	"MNXM6303"	"m02278s"	"m02278s"
"MAM02288s"	"MAM02288"	"ksii_core2"	""	""	""	""	""	""	""	"ksii_core2"	"MNXM7463"	"m02288s"	"m02288s"
"MAM02303s"	"MAM02303"	"ksii_core4"	""	""	""	""	""	""	""	"ksii_core4"	"MNXM7464"	"m02303s"	"m02303s"
"MAM02314s"	"MAM02314"	""	""	""	""	"53481564"	""	"CE5787"	""	"CE5787"	"MNXM59129"	"m02314s"	"m02314s"
"MAM02317s"	"MAM02317"	""	""	""	""	"53481568"	""	"CE5791"	""	"CE5791"	"MNXM59133"	"m02317s"	"m02317s"
"MAM02318s"	"MAM02318"	""	""	""	""	"147043"	""	"CE5786"	""	"CE5786"	"MNXM162968"	"m02318s"	"m02318s"
"MAM02325s"	"MAM02325"	"3aib"	"C03284"	"HMDB02166"	"CHEBI:33094"	"439434"	""	""	""	"3aib"	"MNXM2053;MNXM786"	"m02325s"	"m02325s"
"MAM02326s"	"MAM02326"	""	"C02512"	""	"CHEBI:16934"	"439742"	""	""	"HC00955"	"HC00955"	"MNXM1014"	"m02326s"	"m02326s"
"MAM02328s"	"MAM02328"	"galgluside_hs"	"C01290"	"HMDB00173"	"CHEBI:17950"	""	"LMSP0501AB00"	""	"HC02162"	"C01290"	"MNXM269"	"m02328s"	"m02328s"
"MAM02331s"	"MAM02331"	"fucgal14acglcgalgluside_hs"	""	""	""	""	""	""	""	"fucgal14acglcgalgluside_hs"	"MNXM8833"	"m02331s"	"m02331s"
"MAM02332s"	"MAM02332"	"lcts"	"C00243"	"HMDB00186"	"CHEBI:36219"	"84571"	""	""	"HC00220"	"lcts"	"MNXM362"	"m02332s"	"m02332s"
"MAM02333s"	"MAM02333"	""	"C05396"	""	""	""	""	""	"HC01441"	"HC01441"	"MNXM163840"	"m02333s"	"m02333s"
"MAM02337s"	"MAM02337"	"arab__L"	"C00259"	"HMDB00646"	"CHEBI:17535"	"439195"	""	""	""	"arab_L"	"MNXM91126"	"m02337s"	"m02337s"
"MAM02338s"	"MAM02338"	"abt"	"C00532"	"HMDB01851"	"CHEBI:18403"	"439255"	""	""	""	"abt"	"MNXM801"	"m02338s"	"m02338s"
"MAM02344s"	"MAM02344"	"ddca"	"C02679"	"HMDB00638"	"CHEBI:30805"	"3893"	"LMFA01010012"	""	"HC02176"	"ddca"	"MNXM162258;MNXM402"	"m02344s"	"m02344s"
"MAM02345p"	"MAM02345"	"ddcacoa"	"C01832"	"HMDB03571"	"CHEBI:15521"	"165436"	"LMFA07050005"	""	"HC00850"	"ddcacoa"	"MNXM363"	"m02345p"	"m02345p"
"MAM02348p"	"MAM02348"	"crn"	"C15025"	"HMDB00062"	"CHEBI:11060"	"2724480"	""	""	"HC00270"	"crn"	"MNXM173"	"m02348p"	"m02348p"
"MAM02348s"	"MAM02348"	"crn"	"C15025"	"HMDB00062"	"CHEBI:11060"	"2724480"	""	""	"HC00270"	"crn"	"MNXM173"	"m02348s"	"m02348s"
"MAM02352s"	"MAM02352"	""	""	""	""	""	""	""	""	"M02352"	""	"m02352s"	"m02352s"
"MAM02353s"	"MAM02353"	""	""	""	""	""	""	""	"HC01971"	"M02353"	"MNXM60389"	"m02353s"	"m02353s"
"MAM02354s"	"MAM02354"	"34dhphe"	"C00355"	"HMDB00181"	"CHEBI:15765"	"6047"	""	""	""	"34dhphe"	"MNXM162631;MNXM279"	"m02354s"	"m02354s"
"MAM02357s"	"MAM02357"	""	"C08241"	""	""	""	""	""	"HC01787"	"HC01787"	"MNXM95193"	"m02357s"	"m02357s"
"MAM02360s"	"MAM02360"	"leu__L"	"C00123"	"HMDB00687"	"CHEBI:15603"	"6106"	""	""	"HC00121"	"leu_L"	"MNXM140"	"m02360s"	"m02360s"
"MAM02362s"	"MAM02362"	"leuktrA4"	"C00909"	"HMDB01337"	"CHEBI:15651"	"5280383"	"LMFA03020023"	""	"HC02181"	"leuktrA4"	"MNXM462"	"m02362s"	"m02362s"
"MAM02364p"	"MAM02364"	"leuktrB4"	"C02165"	"HMDB01085"	"CHEBI:15647"	"5280492"	"LMFA03020001"	""	"HC02182"	"leuktrB4"	"MNXM162284;MNXM637"	"m02364p"	"m02364p"
"MAM02364s"	"MAM02364"	"leuktrB4"	"C02165"	"HMDB01085"	"CHEBI:15647"	"5280492"	"LMFA03020001"	""	"HC02182"	"leuktrB4"	"MNXM162284;MNXM637"	"m02364s"	"m02364s"
"MAM02366s"	"MAM02366"	"leuktrC4"	"C02166"	"HMDB01198"	"CHEBI:16978"	"5280493"	"LMFA03020003"	""	"HC00898"	"leuktrC4"	"MNXM589"	"m02366s"	"m02366s"
"MAM02369p"	"MAM02369"	"leuktrE4"	"C05952"	"HMDB02200"	"CHEBI:15650"	"5280749"	"LMFA03020002"	""	"HC02185"	"leuktrE4"	"MNXM1331;MNXM162503"	"m02369p"	"m02369p"
"MAM02369s"	"MAM02369"	"leuktrE4"	"C05952"	"HMDB02200"	"CHEBI:15650"	"5280749"	"LMFA03020002"	""	"HC02185"	"leuktrE4"	"MNXM1331;MNXM162503"	"m02369s"	"m02369s"
"MAM02370s"	"MAM02370"	"leuktrF4"	"C06462"	""	"CHEBI:27491"	"5280938"	""	""	"HC02186"	"leuktrF4"	"MNXM91636"	"m02370s"	"m02370s"
"MAM02382s"	"MAM02382"	""	""	""	"CHEBI:49713"	""	""	""	""	"M02382"	"MNXM2690"	"m02382s"	"m02382s"
"MAM02384s"	"MAM02384"	"idour"	"C06472"	""	"CHEBI:47903"	"8704"	""	""	""	"idour"	"MNXM90841"	"m02384s"	"m02384s"
"MAM02385s"	"MAM02385"	"lgnc"	"C08320"	"HMDB02003"	"CHEBI:28866"	"11197"	"LMFA01010024"	""	"HC01788"	"lgnc"	"MNXM3297;MNXM8841"	"m02385s"	"m02385s"
"MAM02386s"	"MAM02386"	"limnen"	"C00521"	"HMDB03375"	"CHEBI:15383"	"439250"	""	""	""	"limnen"	"MNXM956"	"m02386s"	"m02386s"
"MAM02387s"	"MAM02387"	"lnlc"	"C01595"	"HMDB00673"	"CHEBI:17351"	"5280450"	"LMFA01030120"	""	"HC00796"	"lnlc"	"MNXM293"	"m02387s"	"m02387s"
"MAM02389s"	"MAM02389"	"lnlnca"	"C06427"	"HMDB01388"	"CHEBI:27432"	"5280934"	"LMFA01030152"	""	"HC01758"	"lnlnca"	"MNXM794"	"m02389s"	"m02389s"
"MAM02391p"	"MAM02391"	"lnlccoa"	"C02050"	"HMDB01064"	"CHEBI:15530"	"5462164"	"LMFA07050035"	""	"HC01983"	"lnlccoa"	"MNXM638"	"m02391p"	"m02391p"
"MAM02394s"	"MAM02394"	"lipoate"	"C00725"	"HMDB01451"	"CHEBI:30314"	"6112"	"LMFA01130001"	""	""	"lipoate"	"MNXM1484"	"m02394s"	"m02394s"
"MAM02395p"	"MAM02395"	""	"C06314"	"HMDB04385"	"CHEBI:6498"	"5280914"	"LMFA03040001"	""	""	"C06314"	"MNXM12129"	"m02395p"	"m02395p"
"MAM02396p"	"MAM02396"	""	"C06315"	"HMDB05082"	"CHEBI:6499"	"5280915"	"LMFA03040002"	""	""	"C06315"	"MNXM12130"	"m02396p"	"m02396p"
"MAM02402p"	"MAM02402"	""	"C03990"	"HMDB00761"	"CHEBI:16325"	"11740284"	"LMST04010003"	""	"HC02191"	"HC02191"	"MNXM886"	"m02402p"	"m02402p"
"MAM02402s"	"MAM02402"	""	"C03990"	"HMDB00761"	"CHEBI:16325"	"11740284"	"LMST04010003"	""	"HC02191"	"HC02191"	"MNXM886"	"m02402s"	"m02402s"
"MAM02403p"	"MAM02403"	"lac__L"	"C00186"	"HMDB00190"	"CHEBI:422"	"107689"	""	""	"HC00177"	"lac_L"	"MNXM179;MNXM3041"	"m02403p"	"m02403p"
"MAM02403s"	"MAM02403"	"lac__L"	"C00186"	"HMDB00190"	"CHEBI:422"	"107689"	""	""	"HC00177"	"lac_L"	"MNXM179;MNXM3041"	"m02403s"	"m02403s"
"MAM02407s"	"MAM02407"	"mepi"	"C05588"	"HMDB04063"	"CHEBI:144365"	"21100"	""	""	""	"mepi"	"MNXM3659;MNXM91238"	"m02407s"	"m02407s"
"MAM02409p"	"MAM02409"	""	"C02838"	"HMDB00791"	"CHEBI:18102"	"11953814"	"LMFA07070002"	""	"HC01007"	"c8crn"	"MNXM162768;MNXM4211"	"m02409p"	"m02409p"
"MAM02413p"	"MAM02413"	"Lpipecol"	"C00408"	"HMDB00716"	"CHEBI:30913"	"439227"	""	""	""	"Lpipecol"	"MNXM684"	"m02413p"	"m02413p"
"MAM02414s"	"MAM02414"	""	""	""	""	""	"PROTEIN"	""	""	"M02414"	""	"m02414s"	"m02414s"
